"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SANDIA (000)",28859,4072,8704,7281,8802
"Asiste actualmente (001)",18284,1260,8223,6651,2150
"No asiste (002)",10575,2812,481,630,6652
"Hombres (004)",14986,2061,4458,3775,4692
"Asiste actualmente (005)",9539,643,4222,3460,1214
"No asiste (006)",5447,1418,236,315,3478
"Mujeres (008)",13873,2011,4246,3506,4110
"Asiste actualmente (009)",8745,617,4001,3191,936
"No asiste (010)",5128,1394,245,315,3174
,,,,,
"URBANA (012)",7906,999,2357,2343,2207
"Asiste actualmente (013)",5557,351,2260,2208,738
"No asiste (014)",2349,648,97,135,1469
"Hombres (016)",3916,496,1131,1201,1088
"Asiste actualmente (017)",2782,169,1082,1130,401
"No asiste (018)",1134,327,49,71,687
"Mujeres (020)",3990,503,1226,1142,1119
"Asiste actualmente (021)",2775,182,1178,1078,337
"No asiste (022)",1215,321,48,64,782
,,,,,
"RURAL (024)",20953,3073,6347,4938,6595
"Asiste actualmente (025)",12727,909,5963,4443,1412
"No asiste (026)",8226,2164,384,495,5183
"Hombres (028)",11070,1565,3327,2574,3604
"Asiste actualmente (029)",6757,474,3140,2330,813
"No asiste (030)",4313,1091,187,244,2791
"Mujeres (032)",9883,1508,3020,2364,2991
"Asiste actualmente (033)",5970,435,2823,2113,599
"No asiste (034)",3913,1073,197,251,2392
