"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCAYO (000)",440937,29669,83488,19174,310071
"Quechua (001)",52904,4345,6651,1259,40724
"Aymara (002)",286,17,59,26,193
"Asháninka (003)",119,13,25,16,73
"Otra lengua nativa (004)",494,55,75,12,355
"Castellano (005)",386622,25196,76630,17832,268330
"Idioma Extranjero (006)",84,2,11,21,53
"Es Sordomudo/a (007)",428,41,37,8,343
"Hombres (009)",209737,13971,39009,10896,146744
"Quechua (010)",23202,1902,3320,718,17308
"Aymara (011)",131,7,33,16,79
"Asháninka (012)",54,4,11,4,36
"Otra lengua nativa (013)",219,24,35,7,156
"Castellano (014)",185873,12010,35588,10140,128963
"Idioma Extranjero (015)",38,,4,7,27
"Es Sordomudo/a (016)",220,24,18,4,175
"Mujeres (018)",231200,15698,44479,8278,163327
"Quechua (019)",29702,2443,3331,541,23416
"Aymara (020)",155,10,26,10,114
"Asháninka (021)",65,9,14,12,37
"Otra lengua nativa (022)",275,31,40,5,199
"Castellano (023)",200749,13186,41042,7692,139367
"Idioma Extranjero (024)",46,2,7,14,26
"Es Sordomudo/a (025)",208,17,19,4,168
,,,,,
"URBANA (027)",390029,20377,80653,18232,272199
"Quechua (028)",37970,1165,5985,1134,29755
"Aymara (029)",270,14,54,25,185
"Asháninka (030)",106,9,23,12,67
"Otra lengua nativa (031)",354,29,66,12,250
"Castellano (032)",350923,19127,74477,17020,241642
"Idioma Extranjero (033)",84,2,11,21,53
"Es Sordomudo/a (034)",322,31,37,8,247
"Hombres (036)",184931,9519,37540,10391,128343
"Quechua (037)",16170,469,2955,650,12139
"Aymara (038)",125,7,30,16,76
"Asháninka (039)",45,2,9,2,32
"Otra lengua nativa (040)",153,9,30,7,110
"Castellano (041)",168251,9017,34494,9705,115846
"Idioma Extranjero (042)",38,,4,7,27
"Es Sordomudo/a (043)",149,15,18,4,113
"Mujeres (045)",205098,10858,43113,7841,143856
"Quechua (046)",21800,696,3030,484,17616
"Aymara (047)",145,7,24,9,109
"Asháninka (048)",61,7,14,10,35
"Otra lengua nativa (049)",201,20,36,5,140
"Castellano (050)",182672,10110,39983,7315,125796
"Idioma Extranjero (051)",46,2,7,14,26
"Es Sordomudo/a (052)",173,16,19,4,134
,,,,,
"RURAL (054)",50908,9292,2835,942,37872
"Quechua (055)",14934,3180,666,125,10969
"Aymara (056)",16,3,5,1,8
"Asháninka (057)",13,4,2,4,6
"Otra lengua nativa (058)",140,26,9,,105
"Castellano (059)",35699,6069,2153,812,26688
"Es Sordomudo/a (061)",106,10,,,96
"Hombres (063)",24806,4452,1469,505,18401
"Quechua (064)",7032,1433,365,68,5169
"Aymara (065)",6,,3,,3
"Asháninka (066)",9,2,2,2,4
"Otra lengua nativa (067)",66,15,5,,46
"Castellano (068)",17622,2993,1094,435,13117
"Es Sordomudo/a (070)",71,9,,,62
"Mujeres (072)",26102,4840,1366,437,19471
"Quechua (073)",7902,1747,301,57,5800
"Aymara (074)",10,3,2,1,5
"Asháninka (075)",4,2,,2,2
"Otra lengua nativa (076)",74,11,4,,59
"Castellano (077)",18077,3076,1059,377,13571
"Es Sordomudo/a (079)",35,1,,,34
