"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JORGE BASADRE (000)",5571,2200,426,475,2470
"Empleado (001)",1527,183,96,158,1090
"Obrero (002)",2371,458,239,302,1372
"Trabajador independiente (003)",984,936,48,,
"Empleador o patrono (004)",178,142,21,11,4
"Trabajador familiar no remunerado (005)",426,396,22,4,4
"Trabajador del hogar (006)",85,85,,,
"De 06 a 14 años (008)",32,28,4,,
"Empleado (009)",1,1,,,
"Obrero (010)",5,2,3,,
"Trabajador independiente (011)",3,3,,,
"Trabajador familiar no remunerado (013)",21,20,1,,
"Trabajador del hogar (014)",2,2,,,
"De 15 a 29 años (016)",1679,607,124,138,810
"Empleado (017)",512,74,26,33,379
"Obrero (018)",790,181,80,99,430
"Trabajador independiente (019)",167,159,8,,
"Empleador o patrono (020)",15,9,2,4,
"Trabajador familiar no remunerado (021)",145,134,8,2,1
"Trabajador del hogar (022)",50,50,,,
"De 30 a 44 años (024)",2025,677,170,210,968
"Empleado (025)",646,72,43,92,439
"Obrero (026)",856,132,89,111,524
"Trabajador independiente (027)",321,298,23,,
"Empleador o patrono (028)",51,36,7,5,3
"Trabajador familiar no remunerado (029)",127,115,8,2,2
"Trabajador del hogar (030)",24,24,,,
"De 45 a 64 años (032)",1560,678,117,117,648
"Empleado (033)",346,33,27,33,253
"Obrero (034)",665,128,61,83,393
"Trabajador independiente (035)",362,347,15,,
"Empleador o patrono (036)",78,66,10,1,1
"Trabajador familiar no remunerado (037)",100,95,4,,1
"Trabajador del hogar (038)",9,9,,,
"De 65 y más años (040)",275,210,11,10,44
"Empleado (041)",22,3,,,19
"Obrero (042)",55,15,6,9,25
"Trabajador independiente (043)",131,129,2,,
"Empleador o patrono (044)",34,31,2,1,
"Trabajador familiar no remunerado (045)",33,32,1,,
,,,,,
"URBANA (048)",3363,877,288,405,1793
"Empleado (049)",1264,147,84,141,892
"Obrero (050)",1488,170,166,254,898
"Trabajador independiente (051)",384,358,26,,
"Empleador o patrono (052)",37,24,5,6,2
"Trabajador familiar no remunerado (053)",113,101,7,4,1
"Trabajador del hogar (054)",77,77,,,
"De 06 a 14 años (056)",7,4,3,,
"Obrero (058)",2,,2,,
"Trabajador independiente (059)",2,2,,,
