"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia YUNGAY (000)",850,236,614
"De 14 a 29 años (001)",476,198,278
"De 30 a 44 años (002)",235,35,200
"De 45 a 64 años (003)",103,3,100
"De 65 y más años (004)",36,,36
"Hombres (005)",646,152,494
"De 14 a 29 años (006)",323,119,204
"De 30 a 44 años (007)",196,31,165
"De 45 a 64 años (008)",92,2,90
"De 65 y más años (009)",35,,35
"Mujeres (010)",204,84,120
"De 14 a 29 años (011)",153,79,74
"De 30 a 44 años (012)",39,4,35
"De 45 a 64 años (013)",11,1,10
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",262,61,201
"De 14 a 29 años (016)",145,53,92
"De 30 a 44 años (017)",81,7,74
"De 45 a 64 años (018)",31,1,30
"De 65 y más años (019)",5,,5
"Hombres (020)",182,38,144
"De 14 a 29 años (021)",91,32,59
"De 30 a 44 años (022)",61,6,55
"De 45 a 64 años (023)",25,,25
"De 65 y más años (024)",5,,5
"Mujeres (025)",80,23,57
"De 14 a 29 años (026)",54,21,33
"De 30 a 44 años (027)",20,1,19
"De 45 a 64 años (028)",6,1,5
,,,
"AREA RURAL (030)",588,175,413
"De 14 a 29 años (031)",331,145,186
"De 30 a 44 años (032)",154,28,126
"De 45 a 64 años (033)",72,2,70
"De 65 y más años (034)",31,,31
"Hombres (035)",464,114,350
"De 14 a 29 años (036)",232,87,145
"De 30 a 44 años (037)",135,25,110
"De 45 a 64 años (038)",67,2,65
"De 65 y más años (039)",30,,30
"Mujeres (040)",124,61,63
"De 14 a 29 años (041)",99,58,41
"De 30 a 44 años (042)",19,3,16
"De 45 a 64 años (043)",5,,5
"De 65 y más años (044)",1,,1
