"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia DOS DE MAYO (000)",24439,22843,1596
"Hombres (001)",11804,11130,674
"Mujeres (002)",12635,11713,922
"De 18 a 29 años (003)",8298,7651,647
"Hombres (004)",4038,3718,320
"Mujeres (005)",4260,3933,327
"De 30 a 44 años (006)",7389,7156,233
"Hombres (007)",3521,3415,106
"Mujeres (008)",3868,3741,127
"De 45 a 64 años (009)",5845,5555,290
"Hombres (010)",2876,2755,121
"Mujeres (011)",2969,2800,169
"De 65 y más años (012)",2907,2481,426
"Hombres (013)",1369,1242,127
"Mujeres (014)",1538,1239,299
,,,
"URBANA (015)",9035,8609,426
"Hombres (016)",4311,4143,168
"Mujeres (017)",4724,4466,258
"De 18 a 29 años (018)",3009,2851,158
"Hombres (019)",1450,1371,79
"Mujeres (020)",1559,1480,79
"De 30 a 44 años (021)",2942,2879,63
"Hombres (022)",1377,1347,30
"Mujeres (023)",1565,1532,33
"De 45 a 64 años (024)",2067,1989,78
"Hombres (025)",1035,1004,31
"Mujeres (026)",1032,985,47
"De 65 y más años (027)",1017,890,127
"Hombres (028)",449,421,28
"Mujeres (029)",568,469,99
,,,
"RURAL (030)",15404,14234,1170
"Hombres (031)",7493,6987,506
"Mujeres (032)",7911,7247,664
"De 18 a 29 años (033)",5289,4800,489
"Hombres (034)",2588,2347,241
"Mujeres (035)",2701,2453,248
"De 30 a 44 años (036)",4447,4277,170
"Hombres (037)",2144,2068,76
"Mujeres (038)",2303,2209,94
"De 45 a 64 años (039)",3778,3566,212
"Hombres (040)",1841,1751,90
"Mujeres (041)",1937,1815,122
"De 65 y más años (042)",1890,1591,299
"Hombres (043)",920,821,99
"Mujeres (044)",970,770,200
