"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LAMBAYEQUE (000)",62998,31570,31428
"Casa independiente (001)",59093,29795,29298
"Departamento en edificio (002)",297,297,
"Vivienda en quinta (003)",311,311,
"Vivienda en casa de vecindad (004)",169,169,
"Choza o cabaña (005)",2113,,2113
"Vivienda improvisada (006)",957,957,
"Local no dest.para hab. humana (007)",50,36,14
"Otro tipo (008)",8,5,3
