"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PARINACOCHAS (000)",29306,546,9702,6809,5080,4303,2866
"Jefe o Jefa (001)",8221,,34,1311,2449,2535,1892
"Esposa(o) / compañera(o) (002)",4340,,18,968,1535,1242,577
"Hijo(a) / hijastro(a) (003)",11928,379,7578,3213,581,166,11
"Yerno / nuera (004)",349,,3,209,110,22,5
"Nieto(a) (005)",1551,115,1193,231,12,,
"Padres / suegros (006)",304,,,,18,56,230
"Otro(a) pariente (007)",2039,49,790,608,254,218,120
"Trabajador(a) del hogar (008)",63,,7,41,8,6,1
"Pensionistas (009)",23,,5,11,5,2,
"Otro(a) no pariente (010)",488,3,74,217,108,56,30
"Hombres (011)",14539,278,4932,3453,2511,2131,1234
"Jefe o Jefa (012)",5473,,13,901,1781,1746,1032
"Esposa(o) / compañera(o) (013)",410,,14,104,117,121,54
"Hijo(a) / hijastro(a) (014)",6149,195,3875,1721,275,79,4
"Yerno / nuera (015)",173,,1,89,65,13,5
"Nieto(a) (016)",802,59,619,117,7,,
"Padres / suegros (017)",94,,,,9,21,64
"Otro(a) pariente (018)",1112,24,373,382,166,111,56
"Trabajador(a) del hogar (019)",12,,,8,3,1,
"Pensionistas (020)",16,,3,7,4,2,
"Otro(a) no pariente (021)",298,,34,124,84,37,19
"Mujeres (022)",14767,268,4770,3356,2569,2172,1632
"Jefe o Jefa (023)",2748,,21,410,668,789,860
"Esposa(o) / compañera(o) (024)",3930,,4,864,1418,1121,523
"Hijo(a) / hijastro(a) (025)",5779,184,3703,1492,306,87,7
"Yerno / nuera (026)",176,,2,120,45,9,
"Nieto(a) (027)",749,56,574,114,5,,
"Padres / suegros (028)",210,,,,9,35,166
"Otro(a) pariente (029)",927,25,417,226,88,107,64
"Trabajador(a) del hogar (030)",51,,7,33,5,5,1
"Pensionistas (031)",7,,2,4,1,,
"Otro(a) no pariente (032)",190,3,40,93,24,19,11
,,,,,,,
"URBANA (033)",17079,305,5588,4275,3167,2335,1409
"Jefe o Jefa (034)",4497,,16,750,1480,1343,908
"Esposa(o) / compañera(o) (035)",2500,,14,599,965,659,263
"Hijo(a) / hijastro(a) (036)",6938,208,4291,1979,355,100,5
"Yerno / nuera (037)",243,,1,149,76,13,4
"Nieto(a) (038)",968,70,741,150,7,,
"Padres / suegros (039)",200,,,,14,38,148
"Otro(a) pariente (040)",1297,24,460,434,179,138,62
"Trabajador(a) del hogar (041)",47,,7,33,4,2,1
"Pensionistas (042)",17,,3,9,3,2,
"Otro(a) no pariente (043)",372,3,55,172,84,40,18
"Hombres (044)",8444,163,2850,2148,1531,1169,583
"Jefe o Jefa (045)",3020,,9,521,1076,936,478
"Esposa(o) / compañera(o) (046)",227,,12,67,61,58,29
"Hijo(a) / hijastro(a) (047)",3553,110,2202,1034,156,50,1
"Yerno / nuera (048)",122,,,66,44,8,4
"Nieto(a) (049)",500,41,377,79,3,,
"Padres / suegros (050)",62,,,,7,15,40
"Otro(a) pariente (051)",725,12,222,276,117,76,22
"Trabajador(a) del hogar (052)",8,,,7,1,,
"Pensionistas (053)",12,,2,5,3,2,
"Otro(a) no pariente (054)",215,,26,93,63,24,9
"Mujeres (055)",8635,142,2738,2127,1636,1166,826
"Jefe o Jefa (056)",1477,,7,229,404,407,430
"Esposa(o) / compañera(o) (057)",2273,,2,532,904,601,234
"Hijo(a) / hijastro(a) (058)",3385,98,2089,945,199,50,4
"Yerno / nuera (059)",121,,1,83,32,5,
"Nieto(a) (060)",468,29,364,71,4,,
"Padres / suegros (061)",138,,,,7,23,108
"Otro(a) pariente (062)",572,12,238,158,62,62,40
"Trabajador(a) del hogar (063)",39,,7,26,3,2,1
"Pensionistas (064)",5,,1,4,,,
"Otro(a) no pariente (065)",157,3,29,79,21,16,9
,,,,,,,
"RURAL (066)",12227,241,4114,2534,1913,1968,1457
"Jefe o Jefa (067)",3724,,18,561,969,1192,984
"Esposa(o) / compañera(o) (068)",1840,,4,369,570,583,314
"Hijo(a) / hijastro(a) (069)",4990,171,3287,1234,226,66,6
"Yerno / nuera (070)",106,,2,60,34,9,1
"Nieto(a) (071)",583,45,452,81,5,,
"Padres / suegros (072)",104,,,,4,18,82
"Otro(a) pariente (073)",742,25,330,174,75,80,58
"Trabajador(a) del hogar (074)",16,,,8,4,4,
"Pensionistas (075)",6,,2,2,2,,
"Otro(a) no pariente (076)",116,,19,45,24,16,12
"Hombres (077)",6095,115,2082,1305,980,962,651
"Jefe o Jefa (078)",2453,,4,380,705,810,554
"Esposa(o) / compañera(o) (079)",183,,2,37,56,63,25
"Hijo(a) / hijastro(a) (080)",2596,85,1673,687,119,29,3
"Yerno / nuera (081)",51,,1,23,21,5,1
"Nieto(a) (082)",302,18,242,38,4,,
"Padres / suegros (083)",32,,,,2,6,24
"Otro(a) pariente (084)",387,12,151,106,49,35,34
"Trabajador(a) del hogar (085)",4,,,1,2,1,
"Pensionistas (086)",4,,1,2,1,,
"Otro(a) no pariente (087)",83,,8,31,21,13,10
"Mujeres (088)",6132,126,2032,1229,933,1006,806
"Jefe o Jefa (089)",1271,,14,181,264,382,430
"Esposa(o) / compañera(o) (090)",1657,,2,332,514,520,289
"Hijo(a) / hijastro(a) (091)",2394,86,1614,547,107,37,3
"Yerno / nuera (092)",55,,1,37,13,4,
"Nieto(a) (093)",281,27,210,43,1,,
"Padres / suegros (094)",72,,,,2,12,58
"Otro(a) pariente (095)",355,13,179,68,26,45,24
"Trabajador(a) del hogar (096)",12,,,7,2,3,
"Pensionistas (097)",2,,1,,1,,
"Otro(a) no pariente (098)",33,,11,14,3,3,2
