"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LEONCIO PRADO (000)",109292,26086,10083,3746,69596
"Quechua (001)",8990,1107,357,135,7401
"Aymara (002)",78,21,12,13,43
"Asháninka (003)",30,15,4,12,10
"Otra lengua nativa (004)",82,12,5,5,63
"Castellano (005)",99915,24880,9691,3575,61953
"Idioma Extranjero (006)",19,1,5,6,7
"Es Sordomudo/a (007)",178,50,9,,119
"Hombres (009)",57213,12599,5079,2460,37236
"Quechua (010)",4692,472,208,69,3950
"Aymara (011)",39,10,7,6,21
"Asháninka (012)",14,8,3,6,3
"Otra lengua nativa (013)",45,8,3,5,32
"Castellano (014)",52316,12074,4851,2369,33162
"Idioma Extranjero (015)",10,,2,5,3
"Es Sordomudo/a (016)",97,27,5,,65
"Mujeres (018)",52079,13487,5004,1286,32360
"Quechua (019)",4298,635,149,66,3451
"Aymara (020)",39,11,5,7,22
"Asháninka (021)",16,7,1,6,7
"Otra lengua nativa (022)",37,4,2,,31
"Castellano (023)",47599,12806,4840,1206,28791
"Idioma Extranjero (024)",9,1,3,1,4
"Es Sordomudo/a (025)",81,23,4,,54
,,,,,
"URBANA (027)",64565,11588,9148,3108,40895
"Quechua (028)",2720,272,260,74,2122
"Aymara (029)",53,9,11,10,31
"Asháninka (030)",17,8,2,9,5
"Otra lengua nativa (031)",34,9,5,4,18
"Castellano (032)",61640,11272,8858,3006,38653
"Idioma Extranjero (033)",17,1,5,5,6
"Es Sordomudo/a (034)",84,17,7,,60
"Hombres (036)",32283,5224,4578,2066,20543
"Quechua (037)",1287,90,151,39,1012
"Aymara (038)",25,3,6,3,15
"Asháninka (039)",6,3,1,3,1
"Otra lengua nativa (040)",24,5,3,4,14
"Castellano (041)",30887,5115,4410,2012,19467
"Idioma Extranjero (042)",9,,2,5,2
"Es Sordomudo/a (043)",45,8,5,,32
"Mujeres (045)",32282,6364,4570,1042,20352
"Quechua (046)",1433,182,109,35,1110
"Aymara (047)",28,6,5,7,16
"Asháninka (048)",11,5,1,6,4
"Otra lengua nativa (049)",10,4,2,,4
"Castellano (050)",30753,6157,4448,994,19186
"Idioma Extranjero (051)",8,1,3,,4
"Es Sordomudo/a (052)",39,9,2,,28
,,,,,
"RURAL (054)",44727,14498,935,638,28701
"Quechua (055)",6270,835,97,61,5279
"Aymara (056)",25,12,1,3,12
"Asháninka (057)",13,7,2,3,5
"Otra lengua nativa (058)",48,3,,1,45
"Castellano (059)",38275,13608,833,569,23300
"Idioma Extranjero (060)",2,,,1,1
"Es Sordomudo/a (061)",94,33,2,,59
"Hombres (063)",24930,7375,501,394,16693
"Quechua (064)",3405,382,57,30,2938
"Aymara (065)",14,7,1,3,6
"Asháninka (066)",8,5,2,3,2
"Otra lengua nativa (067)",21,3,,1,18
"Castellano (068)",21429,6959,441,357,13695
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",52,19,,,33
"Mujeres (072)",19797,7123,434,244,12008
"Quechua (073)",2865,453,40,31,2341
"Aymara (074)",11,5,,,6
"Asháninka (075)",5,2,,,3
"Otra lengua nativa (076)",27,,,,27
"Castellano (077)",16846,6649,392,212,9605
"Idioma Extranjero (078)",1,,,1,
"Es Sordomudo/a (079)",42,14,2,,26
