"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LAMAS (000)",623,183,440
"Sin nivel (001)",36,7,29
"Primaria (003)",308,95,213
"Secundaria (004)",208,57,151
"Superior no univ. incompleta (005)",14,4,10
"Superior no univ. completa (006)",30,11,19
"Superior univ. incompleta (007)",4,2,2
"Superior univ. completa (008)",23,7,16
"De 14 a 29 años (010)",357,143,214
"Sin nivel (011)",10,3,7
"Primaria (013)",161,73,88
"Secundaria (014)",141,47,94
"Superior no univ. incompleta (015)",12,3,9
"Superior no univ. completa (016)",21,9,12
"Superior univ. incompleta (017)",2,1,1
"Superior univ. completa (018)",10,7,3
"De 30 a 44 años (020)",148,37,111
"Sin nivel (021)",9,4,5
"Primaria (023)",78,21,57
"Secundaria (024)",44,8,36
"Superior no univ. incompleta (025)",2,1,1
"Superior no univ. completa (026)",5,2,3
"Superior univ. incompleta (027)",2,1,1
"Superior univ. completa (028)",8,,8
"De 45 a 64 años (030)",94,3,91
"Sin nivel (031)",12,,12
"Primaria (033)",50,1,49
"Secundaria (034)",23,2,21
"Superior no univ. completa (036)",4,,4
"Superior univ. completa (038)",5,,5
"De 65 y más años (040)",24,,24
"Sin nivel (041)",5,,5
"Primaria (043)",19,,19
,,,
"AREA URBANA (050)",407,108,299
"Sin nivel (051)",19,3,16
"Primaria (053)",177,42,135
"Secundaria (054)",148,41,107
"Superior no univ. incompleta (055)",12,4,8
"Superior no univ. completa (056)",27,11,16
"Superior univ. incompleta (057)",3,1,2
"Superior univ. completa (058)",21,6,15
"De 14 a 29 años (060)",210,76,134
"Sin nivel (061)",3,,3
"Primaria (063)",73,24,49
"Secundaria (064)",95,34,61
"Superior no univ. incompleta (065)",10,3,7
"Superior no univ. completa (066)",19,9,10
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",9,6,3
"De 30 a 44 años (070)",102,29,73
"Sin nivel (071)",4,3,1
"Primaria (073)",51,17,34
"Secundaria (074)",32,5,27
"Superior no univ. incompleta (075)",2,1,1
"Superior no univ. completa (076)",4,2,2
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",7,,7
"De 45 a 64 años (080)",74,3,71
"Sin nivel (081)",9,,9
"Primaria (083)",35,1,34
"Secundaria (084)",21,2,19
"Superior no univ. completa (086)",4,,4
"Superior univ. completa (088)",5,,5
"De 65 y más años (090)",21,,21
"Sin nivel (091)",3,,3
"Primaria (093)",18,,18
,,,
"AREA RURAL (100)",216,75,141
"Sin nivel (101)",17,4,13
"Primaria (103)",131,53,78
"Secundaria (104)",60,16,44
"Superior no univ. incompleta (105)",2,,2
"Superior no univ. completa (106)",3,,3
"Superior univ. incompleta (107)",1,1,
"Superior univ. completa (108)",2,1,1
"De 14 a 29 años (110)",147,67,80
"Sin nivel (111)",7,3,4
"Primaria (113)",88,49,39
"Secundaria (114)",46,13,33
"Superior no univ. incompleta (115)",2,,2
"Superior no univ. completa (116)",2,,2
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",1,1,
"De 30 a 44 años (120)",46,8,38
"Sin nivel (121)",5,1,4
"Primaria (123)",27,4,23
"Secundaria (124)",12,3,9
"Superior no univ. completa (126)",1,,1
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",20,,20
"Sin nivel (131)",3,,3
"Primaria (133)",15,,15
"Secundaria (134)",2,,2
"De 65 y más años (140)",3,,3
"Sin nivel (141)",2,,2
"Primaria (143)",1,,1
