"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JAUJA (000)",25837,196,8928,9538,3134,1056,447,152,28,,2358
"Catolica (001)",22887,163,7783,8479,2839,952,404,132,21,,2114
"Cristiana / Evangelica (002)",2472,29,993,881,243,78,36,18,5,,189
"Otra (003)",274,2,78,104,38,20,4,1,1,,26
"Ninguna (004)",204,2,74,74,14,6,3,1,1,,29
,,,,,,,,,,,
"URBANA (006)",18273,129,5849,6794,2448,836,357,129,23,,1708
"Catolica (007)",16326,107,5184,6065,2221,759,325,114,17,,1534
"Cristiana / Evangelica (008)",1599,19,568,595,187,55,26,13,4,,132
"Otra (009)",194,2,50,72,31,17,4,1,1,,16
"Ninguna (010)",154,1,47,62,9,5,2,1,1,,26
,,,,,,,,,,,
"RURAL (012)",7564,67,3079,2744,686,220,90,23,5,,650
"Catolica (013)",6561,56,2599,2414,618,193,79,18,4,,580
"Cristiana / Evangelica (014)",873,10,425,286,56,23,10,5,1,,57
"Otra (015)",80,,28,32,7,3,,,,,10
"Ninguna (016)",50,1,27,12,5,1,1,,,,3
