"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LUYA (000)",151,58,93
"Sin nivel (001)",13,7,6
"Primaria (003)",67,21,46
"Secundaria (004)",47,20,27
"Superior no univ. incompleta (005)",6,2,4
"Superior no univ. completa (006)",14,6,8
"Superior univ. incompleta (007)",1,,1
"Superior univ. completa (008)",3,2,1
"Hombres (010)",105,37,68
"Sin nivel (011)",9,5,4
"Primaria (013)",53,16,37
"Secundaria (014)",32,13,19
"Superior no univ. incompleta (015)",5,1,4
"Superior no univ. completa (016)",5,2,3
"Superior univ. completa (018)",1,,1
"Mujeres (020)",46,21,25
"Sin nivel (021)",4,2,2
"Primaria (023)",14,5,9
"Secundaria (024)",15,7,8
"Superior no univ. incompleta (025)",1,1,
"Superior no univ. completa (026)",9,4,5
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",2,2,
,,,
"AREA URBANA (030)",96,26,70
"Sin nivel (031)",7,3,4
"Primaria (033)",37,5,32
"Secundaria (034)",33,9,24
"Superior no univ. incompleta (035)",6,2,4
"Superior no univ. completa (036)",10,5,5
"Superior univ. completa (038)",3,2,1
"Hombres (040)",72,15,57
"Sin nivel (041)",5,2,3
"Primaria (043)",32,4,28
"Secundaria (044)",24,6,18
"Superior no univ. incompleta (045)",5,1,4
"Superior no univ. completa (046)",5,2,3
"Superior univ. completa (048)",1,,1
"Mujeres (050)",24,11,13
"Sin nivel (051)",2,1,1
"Primaria (053)",5,1,4
"Secundaria (054)",9,3,6
"Superior no univ. incompleta (055)",1,1,
"Superior no univ. completa (056)",5,3,2
"Superior univ. completa (058)",2,2,
,,,
"AREA RURAL (060)",55,32,23
"Sin nivel (061)",6,4,2
"Primaria (063)",30,16,14
"Secundaria (064)",14,11,3
"Superior no univ. completa (066)",4,1,3
"Superior univ. incompleta (067)",1,,1
"Hombres (070)",33,22,11
"Sin nivel (071)",4,3,1
"Primaria (073)",21,12,9
"Secundaria (074)",8,7,1
"Mujeres (080)",22,10,12
"Sin nivel (081)",2,1,1
"Primaria (083)",9,4,5
"Secundaria (084)",6,4,2
"Superior no univ. completa (086)",4,1,3
"Superior univ. incompleta (087)",1,,1
