"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DOS DE MAYO (000)",16240,15841,5331,1591,1430,1249,2094,1725,1329,1092,399,52151
"De 12 a 14 años (001)",2045,2040,2033,7,,,,,,,5,7
"De 15 a 19 años (002)",2490,2456,2137,261,45,7,6,,,,34,396
"De 20 a 24 años (003)",1849,1707,609,573,344,135,39,7,,,142,1876
"De 25 a 29 años (004)",1481,1380,200,324,331,283,212,27,3,,101,2936
"De 30 a 34 años (005)",1364,1320,94,141,235,271,398,140,32,9,44,4438
"De 35 a 39 años (006)",1358,1337,35,78,152,209,408,272,146,37,21,6177
"De 40 a 44 años (007)",1146,1139,31,42,78,103,278,293,200,114,7,6566
"De 45 a 49 años (008)",1007,1000,34,34,59,73,175,262,198,165,7,6398
"De 50 y más años (009)",3500,3462,158,131,186,168,578,724,750,767,38,23357
"PEA (010)",3264,3136,547,424,405,339,528,375,295,223,128,12057
"De 12 a 14 años (011)",64,63,63,,,,,,,,1,
"De 15 a 19 años (012)",217,211,159,38,10,2,2,,,,6,72
"De 20 a 24 años (013)",365,325,129,113,56,20,6,1,,,40,316
"De 25 a 29 años (014)",414,370,89,102,78,55,42,2,2,,44,635
"De 30 a 34 años (015)",404,387,41,71,80,70,90,30,4,1,17,1074
"De 35 a 39 años (016)",404,400,15,38,81,77,109,50,25,5,4,1505
"De 40 a 44 años (017)",349,344,9,20,40,41,93,61,52,28,5,1792
"De 45 a 49 años (018)",300,298,11,8,19,31,61,76,55,37,2,1804
"De 50 y más años (019)",747,738,31,34,41,43,125,155,157,152,9,4859
"Ocupada (020)",3085,2987,457,402,393,333,521,373,289,219,98,11853
"De 12 a 14 años (021)",57,56,56,,,,,,,,1,
"De 15 a 19 años (022)",182,177,125,38,10,2,2,,,,5,72
