"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CORONGO (000)",7889,394,1897,1404,1025,1009,779,553,828
"Quechua (001)",745,6,42,46,58,104,118,106,265
"Otra lengua nativa (004)",2,,,,,,2,,
"Castellano (005)",7128,386,1852,1358,967,904,658,443,560
"Es sordomudo/a (007)",14,2,3,,,1,1,4,3
"Hombres (009)",4032,206,974,754,523,513,393,279,390
"Quechua (010)",313,3,19,18,28,45,55,46,99
"Otra lengua nativa (013)",1,,,,,,1,,
"Castellano (014)",3710,202,954,736,495,468,336,230,289
"Es sordomudo/a (016)",8,1,1,,,,1,3,2
"Mujeres (018)",3857,188,923,650,502,496,386,274,438
"Quechua (019)",432,3,23,28,30,59,63,60,166
"Otra lengua nativa (022)",1,,,,,,1,,
"Castellano (023)",3418,184,898,622,472,436,322,213,271
"Es sordomudo/a (025)",6,1,2,,,1,,1,1
,,,,,,,,,
"URBANA (027)",3915,159,847,626,517,527,422,310,507
"Quechua (028)",402,3,25,25,37,48,63,52,149
"Otra lengua nativa (031)",1,,,,,,1,,
"Castellano (032)",3506,155,821,601,480,479,358,256,356
"Es sordomudo/a (034)",6,1,1,,,,,2,2
"Hombres (036)",2010,84,452,331,271,276,208,159,229
"Quechua (037)",164,2,13,12,17,18,29,21,52
"Otra lengua nativa (040)",1,,,,,,1,,
"Castellano (041)",1841,81,439,319,254,258,178,136,176
"Es sordomudo/a (043)",4,1,,,,,,2,1
"Mujeres (045)",1905,75,395,295,246,251,214,151,278
"Quechua (046)",238,1,12,13,20,30,34,31,97
"Castellano (050)",1665,74,382,282,226,221,180,120,180
"Es sordomudo/a (052)",2,,1,,,,,,1
,,,,,,,,,
"RURAL (054)",3974,235,1050,778,508,482,357,243,321
"Quechua (055)",343,3,17,21,21,56,55,54,116
"Otra lengua nativa (058)",1,,,,,,1,,
"Castellano (059)",3622,231,1031,757,487,425,300,187,204
"Es sordomudo/a (061)",8,1,2,,,1,1,2,1
"Hombres (063)",2022,122,522,423,252,237,185,120,161
"Quechua (064)",149,1,6,6,11,27,26,25,47
"Castellano (068)",1869,121,515,417,241,210,158,94,113
"Es sordomudo/a (070)",4,,1,,,,1,1,1
"Mujeres (072)",1952,113,528,355,256,245,172,123,160
"Quechua (073)",194,2,11,15,10,29,29,29,69
"Otra lengua nativa (076)",1,,,,,,1,,
"Castellano (077)",1753,110,516,340,246,215,142,93,91
"Es sordomudo/a (079)",4,1,1,,,1,,1,
