"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCAYO (000)",126376,945,38155,43027,18980,7045,2901,890,145,,14288
"Catolica (001)",105990,766,31478,36194,16193,6039,2496,758,123,,11943
"Cristiana / Evangelica (002)",16857,152,5671,5683,2214,800,324,106,17,,1890
"Otra (003)",2269,13,625,759,408,147,54,17,4,,242
"Ninguna (004)",1260,14,381,391,165,59,27,9,1,,213
,,,,,,,,,,,
"URBANA (006)",112266,827,32765,38176,17510,6554,2685,799,128,,12822
"Catolica (007)",94401,676,27098,32194,14960,5638,2310,682,107,,10736
"Cristiana / Evangelica (008)",14473,126,4717,4876,1985,720,296,93,16,,1644
"Otra (009)",2191,12,590,734,405,141,52,16,4,,237
"Ninguna (010)",1201,13,360,372,160,55,27,8,1,,205
,,,,,,,,,,,
"RURAL (012)",14110,118,5390,4851,1470,491,216,91,17,,1466
"Catolica (013)",11589,90,4380,4000,1233,401,186,76,16,,1207
"Cristiana / Evangelica (014)",2384,26,954,807,229,80,28,13,1,,246
"Otra (015)",78,1,35,25,3,6,2,1,,,5
"Ninguna (016)",59,1,21,19,5,4,,1,,,8
