"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANTA (000)",27905,23898,1853,933,1221
"Agric., ganadería, caza y silvicultura (001)",17707,16747,839,105,16
"Pesca (002)",10,10,,,
"Explotación de minas y canteras (003)",25,9,2,10,4
"Industrias manufactureras (004)",588,510,50,23,5
"Suministro de electricidad, gas y agua (005)",20,2,3,11,4
"Construcción (006)",1028,659,182,166,21
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2939,2774,131,32,2
"Venta, mant.y rep. veh.autom y motoc. (008)",204,189,13,2,
"Comercio al por mayor (009)",108,91,11,4,2
"Comercio al por menor (010)",2627,2494,107,26,
"Hoteles y restaurantes (011)",683,617,56,8,2
"Trans., almac. y comunicaciones (012)",867,731,71,36,29
"Intermediación financiera (013)",27,8,8,4,7
"Activid.inmobil., empres. y alquileres (014)",252,128,46,46,32
"Admin.pub. y defensa; p. segur soc.afil (015)",549,,,,549
"Enseñanza (016)",1472,372,328,429,343
"Servicios sociales y de salud (017)",286,86,10,16,174
"Otras activ. serv.comun.soc y personales (018)",337,254,62,16,5
"Hogares privados con servicio doméstico (019)",345,345,,,
"Actividad economica no especificada (021)",770,646,65,31,28
"Hombres (022)",19171,16649,1229,555,738
"Agric., ganadería, caza y silvicultura (023)",13634,12980,596,44,14
"Pesca (024)",9,9,,,
"Explotación de minas y canteras (025)",24,8,2,10,4
"Industrias manufactureras (026)",421,364,36,16,5
"Suministro de electricidad, gas y agua (027)",18,2,2,10,4
"Construcción (028)",968,642,176,133,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1218,1127,72,18,1
"Venta, mant.y rep. veh.autom y motoc. (030)",183,168,13,2,
"Comercio al por mayor (031)",50,38,7,4,1
"Comercio al por menor (032)",985,921,52,12,
"Hoteles y restaurantes (033)",169,143,21,3,2
"Trans., almac. y comunicaciones (034)",827,698,66,34,29
"Intermediación financiera (035)",16,3,6,3,4
"Activid.inmobil., empres. y alquileres (036)",182,96,32,31,23
"Admin.pub. y defensa; p. segur soc.afil (037)",389,,,,389
"Enseñanza (038)",657,143,143,208,163
"Servicios sociales y de salud (039)",120,43,3,7,67
"Otras activ. serv.comun.soc y personales (040)",158,98,44,13,3
"Hogares privados con servicio doméstico (041)",35,35,,,
