"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHICLAYO (000)",213194,2076,6772,16062,26493,41875,63346,56570
"De 12 a 14 años (001)",193,,,,,,10,183
"De 15 a 19 años (002)",4057,,,,,,2345,1712
"De 20 a 24 años (003)",19431,,,,,65,10197,9169
"De 25 a 29 años (004)",25584,,,,,1251,14774,9559
"De 30 a 34 años (005)",27050,,,,7,4490,15114,7439
"De 35 a 39 años (006)",26461,,,,370,8249,12071,5771
"De 40 a 44 años (007)",23827,,,1,1906,10595,6442,4883
"De 45 a 49 años (008)",20594,,,171,5004,9474,2030,3915
"De 50 y más años (009)",65997,2076,6772,15890,19206,7751,363,13939
"PEA (010)",74854,58,470,2777,8546,18065,21607,23331
"De 12 a 14 años (011)",18,,,,,,2,16
"De 15 a 19 años (012)",690,,,,,,386,304
"De 20 a 24 años (013)",6318,,,,,26,2583,3709
"De 25 a 29 años (014)",10173,,,,,564,4738,4871
"De 30 a 34 años (015)",11311,,,,,2046,5487,3778
"De 35 a 39 años (016)",11768,,,,177,3794,4856,2941
"De 40 a 44 años (017)",10803,,,,842,4814,2658,2489
"De 45 a 49 años (018)",8773,,,73,2014,4034,790,1862
"De 50 y más años (019)",15000,58,470,2704,5513,2787,107,3361
"Ocupada (020)",72045,56,463,2736,8395,17638,20748,22009
"De 12 a 14 años (021)",18,,,,,,2,16
"De 15 a 19 años (022)",610,,,,,,345,265
"De 20 a 24 años (023)",5765,,,,,24,2393,3348
"De 25 a 29 años (024)",9538,,,,,547,4482,4509
"De 30 a 34 años (025)",10844,,,,,1978,5304,3562
"De 35 a 39 años (026)",11423,,,,173,3694,4730,2826
"De 40 a 44 años (027)",10521,,,,821,4701,2608,2391
"De 45 a 49 años (028)",8585,,,70,1971,3950,779,1815
"De 50 y más años (029)",14741,56,463,2666,5430,2744,105,3277
"Desocupada (030)",2809,2,7,41,151,427,859,1322
"De 15 a 19 años (032)",80,,,,,,41,39
"De 20 a 24 años (033)",553,,,,,2,190,361
"De 25 a 29 años (034)",635,,,,,17,256,362
"De 30 a 34 años (035)",467,,,,,68,183,216
"De 35 a 39 años (036)",345,,,,4,100,126,115
"De 40 a 44 años (037)",282,,,,21,113,50,98
"De 45 a 49 años (038)",188,,,3,43,84,11,47
"De 50 y más años (039)",259,2,7,38,83,43,2,84
"No PEA (040)",138340,2018,6302,13285,17947,23810,41739,33239
"De 12 a 14 años (041)",175,,,,,,8,167
"De 15 a 19 años (042)",3367,,,,,,1959,1408
"De 20 a 24 años (043)",13113,,,,,39,7614,5460
"De 25 a 29 años (044)",15411,,,,,687,10036,4688
