"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PALPA (000)",8483,8317,166
"Hombres (001)",4327,4237,90
"Mujeres (002)",4156,4080,76
"De 18 a 29 años (003)",2563,2462,101
"Hombres (004)",1291,1233,58
"Mujeres (005)",1272,1229,43
"De 30 a 44 años (006)",2566,2546,20
"Hombres (007)",1273,1257,16
"Mujeres (008)",1293,1289,4
"De 45 a 64 años (009)",2171,2154,17
"Hombres (010)",1119,1110,9
"Mujeres (011)",1052,1044,8
"De 65 y más años (012)",1183,1155,28
"Hombres (013)",644,637,7
"Mujeres (014)",539,518,21
,,,
"URBANA (015)",5520,5428,92
"Hombres (016)",2711,2666,45
"Mujeres (017)",2809,2762,47
"De 18 a 29 años (018)",1682,1624,58
"Hombres (019)",806,774,32
"Mujeres (020)",876,850,26
"De 30 a 44 años (021)",1703,1690,13
"Hombres (022)",822,813,9
"Mujeres (023)",881,877,4
"De 45 a 64 años (024)",1404,1398,6
"Hombres (025)",689,687,2
"Mujeres (026)",715,711,4
"De 65 y más años (027)",731,716,15
"Hombres (028)",394,392,2
"Mujeres (029)",337,324,13
,,,
"RURAL (030)",2963,2889,74
"Hombres (031)",1616,1571,45
"Mujeres (032)",1347,1318,29
"De 18 a 29 años (033)",881,838,43
"Hombres (034)",485,459,26
"Mujeres (035)",396,379,17
"De 30 a 44 años (036)",863,856,7
"Hombres (037)",451,444,7
"Mujeres (038)",412,412,
"De 45 a 64 años (039)",767,756,11
"Hombres (040)",430,423,7
"Mujeres (041)",337,333,4
"De 65 y más años (042)",452,439,13
"Hombres (043)",250,245,5
"Mujeres (044)",202,194,8
