"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MORROPON (000)",59420,56925,16881,6643,6744,5638,7793,5363,7863,2495
"Católica (001)",54199,51885,15403,6190,6162,5116,7043,4836,7135,2314
"Cristiana/Evangélica (002)",4044,3917,1093,309,439,427,601,435,613,127
"Otra (003)",843,804,262,94,101,72,111,70,94,39
"Ninguna (004)",334,319,123,50,42,23,38,22,21,15
,,,,,,,,,,
"URBANA (006)",35533,33799,10013,4403,4416,3596,4548,2869,3954,1734
"Católica (007)",32465,30853,9119,4081,4026,3255,4116,2622,3634,1612
"Cristiana/Evangélica (008)",2260,2178,637,212,283,272,331,195,248,82
"Otra (009)",622,590,190,77,83,55,79,43,63,32
"Ninguna (010)",186,178,67,33,24,14,22,9,9,8
,,,,,,,,,,
"RURAL (012)",23887,23126,6868,2240,2328,2042,3245,2494,3909,761
"Católica (013)",21734,21032,6284,2109,2136,1861,2927,2214,3501,702
"Cristiana/Evangélica (014)",1784,1739,456,97,156,155,270,240,365,45
"Otra (015)",221,214,72,17,18,17,32,27,31,7
"Ninguna (016)",148,141,56,17,18,9,16,13,12,7
