"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTA (000)",144012,90576,15391,16458,21587
"Sin nivel (001)",4901,3812,382,264,443
"Educación inicial (002)",132,96,17,11,8
"Primaria (003)",26634,20111,2350,1806,2367
"Secundaria (004)",54457,36578,5894,5134,6851
"Superior no univ. incompleta (005)",9531,6045,1134,1118,1234
"Superior no univ. completa (006)",14532,7639,1594,2142,3157
"Superior univ. incompleta (007)",11262,6821,1342,1446,1653
"Superior univ. completa (008)",22563,9474,2678,4537,5874
"De 06 a 14 años (010)",1336,1122,106,79,29
"Sin nivel (011)",47,39,3,5,
"Educación inicial (012)",16,15,,1,
"Primaria (013)",787,663,65,46,13
"Secundaria (014)",486,405,38,27,16
"De 15 a 29 años (020)",44978,27519,6015,5386,6058
"Sin nivel (021)",436,281,51,39,65
"Educación inicial (022)",77,54,14,5,4
"Primaria (023)",5163,3537,611,469,546
"Secundaria (024)",20872,13669,2683,2081,2439
"Superior no univ. incompleta (025)",3925,2466,555,458,446
"Superior no univ. completa (026)",3965,2026,594,587,758
"Superior univ. incompleta (027)",5363,3284,753,680,646
"Superior univ. completa (028)",5177,2202,754,1067,1154
"De 30 a 44 años (030)",55379,33391,5964,7098,8926
"Sin nivel (031)",1462,1089,133,98,142
"Educación inicial (032)",39,27,3,5,4
"Primaria (033)",7669,5533,785,565,786
"Secundaria (034)",20627,13901,2136,1988,2602
"Superior no univ. incompleta (035)",3695,2321,433,465,476
"Superior no univ. completa (036)",6785,3583,686,1071,1445
"Superior univ. incompleta (037)",4018,2373,441,551,653
"Superior univ. completa (038)",11084,4564,1347,2355,2818
"De 45 a 64 años (040)",36344,23535,2958,3619,6232
"Sin nivel (041)",2063,1615,141,99,208
"Primaria (043)",10032,7761,735,628,908
"Secundaria (044)",11461,7792,969,976,1724
"Superior no univ. incompleta (045)",1743,1129,135,184,295
"Superior no univ. completa (046)",3548,1844,303,465,936
"Superior univ. incompleta (047)",1707,1026,138,205,338
"Superior univ. completa (048)",5790,2368,537,1062,1823
"De 65 y más años (050)",5975,5009,348,276,342
"Sin nivel (051)",893,788,54,23,28
"Primaria (053)",2983,2617,154,98,114
"Secundaria (054)",1011,811,68,62,70
