"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PAITA (000)",100801,5304,22784,21410,17913,13531,9118,5207,5534
"Quechua (001)",57,,3,7,13,8,14,7,5
"Aymara (002)",20,1,8,1,3,1,3,1,2
"Ashaninca (003)",8,1,3,2,1,,,1,
"Otra lengua nativa (004)",97,8,15,33,19,15,4,,3
"Castellano (005)",100498,5290,22724,21340,17862,13493,9081,5190,5518
"Idioma extranjero (006)",14,,2,,1,1,4,4,2
"Es sordomudo/a (007)",107,4,29,27,14,13,12,4,4
"Hombres (009)",50703,2693,11521,10757,8806,6660,4585,2785,2896
"Quechua (010)",39,,2,6,11,4,10,4,2
"Aymara (011)",13,1,5,,3,1,2,1,
"Ashaninca (012)",5,,3,,1,,,1,
"Otra lengua nativa (013)",49,5,9,14,11,5,2,,3
"Castellano (014)",50524,2684,11487,10718,8771,6640,4561,2774,2889
"Idioma extranjero (015)",9,,,,,1,3,3,2
"Es sordomudo/a (016)",64,3,15,19,9,9,7,2,
"Mujeres (018)",50098,2611,11263,10653,9107,6871,4533,2422,2638
"Quechua (019)",18,,1,1,2,4,4,3,3
"Aymara (020)",7,,3,1,,,1,,2
"Ashaninca (021)",3,1,,2,,,,,
"Otra lengua nativa (022)",48,3,6,19,8,10,2,,
"Castellano (023)",49974,2606,11237,10622,9091,6853,4520,2416,2629
"Idioma extranjero (024)",5,,2,,1,,1,1,
"Es sordomudo/a (025)",43,1,14,8,5,4,5,2,4
,,,,,,,,,
"URBANA (027)",96217,5081,21731,20459,17113,12940,8703,4958,5232
"Quechua (028)",54,,3,7,13,8,14,5,4
"Aymara (029)",20,1,8,1,3,1,3,1,2
"Ashaninca (030)",8,1,3,2,1,,,1,
"Otra lengua nativa (031)",96,8,15,32,19,15,4,,3
"Castellano (032)",95923,5067,21673,20391,17063,12902,8667,4943,5217
"Idioma extranjero (033)",14,,2,,1,1,4,4,2
"Es sordomudo/a (034)",102,4,27,26,13,13,11,4,4
"Hombres (036)",48272,2588,10966,10274,8372,6331,4368,2645,2728
"Quechua (037)",36,,2,6,11,4,10,2,1
"Aymara (038)",13,1,5,,3,1,2,1,
"Ashaninca (039)",5,,3,,1,,,1,
"Otra lengua nativa (040)",49,5,9,14,11,5,2,,3
"Castellano (041)",48100,2579,10934,10236,8337,6311,4345,2636,2722
"Idioma extranjero (042)",9,,,,,1,3,3,2
"Es sordomudo/a (043)",60,3,13,18,9,9,6,2,
"Mujeres (045)",47945,2493,10765,10185,8741,6609,4335,2313,2504
"Quechua (046)",18,,1,1,2,4,4,3,3
"Aymara (047)",7,,3,1,,,1,,2
"Ashaninca (048)",3,1,,2,,,,,
"Otra lengua nativa (049)",47,3,6,18,8,10,2,,
"Castellano (050)",47823,2488,10739,10155,8726,6591,4322,2307,2495
"Idioma extranjero (051)",5,,2,,1,,1,1,
"Es sordomudo/a (052)",42,1,14,8,4,4,5,2,4
,,,,,,,,,
"RURAL (054)",4584,223,1053,951,800,591,415,249,302
"Quechua (055)",3,,,,,,,2,1
"Otra lengua nativa (058)",1,,,1,,,,,
"Castellano (059)",4575,223,1051,949,799,591,414,247,301
"Es sordomudo/a (061)",5,,2,1,1,,1,,
"Hombres (063)",2431,105,555,483,434,329,217,140,168
"Quechua (064)",3,,,,,,,2,1
"Castellano (068)",2424,105,553,482,434,329,216,138,167
"Es sordomudo/a (070)",4,,2,1,,,1,,
"Mujeres (072)",2153,118,498,468,366,262,198,109,134
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",2151,118,498,467,365,262,198,109,134
"Es sordomudo/a (079)",1,,,,1,,,,
