"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia EL DORADO",,,
"Viviendas particulares (001)",3719,3504,215
"Ocupantes presentes (002)",16975,15910,1065
"Casa independiente",,,
"Viviendas particulares (004)",3621,3407,214
"Ocupantes presentes (005)",16662,15602,1060
"Departamento en edificio",,,
"Viviendas particulares (007)",2,2,
"Ocupantes presentes (008)",9,9,
"Vivienda en quinta",,,
"Viviendas particulares (010)",64,64,
"Ocupantes presentes (011)",199,199,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",19,19,
"Ocupantes presentes (014)",44,44,
"Choza o cabaña",,,
"Viviendas particulares (016)",3,3,
"Ocupantes presentes (017)",7,7,
"Vivienda improvisada",,,
"Viviendas particulares (019)",4,3,1
"Ocupantes presentes (020)",21,16,5
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",6,6,
"Ocupantes presentes (023)",33,33,
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",2477,2371,106
"Ocupantes presentes (029)",11163,10637,526
"Casa independiente",,,
"Viviendas particulares (031)",2383,2278,105
"Ocupantes presentes (032)",10861,10340,521
"Departamento en edificio",,,
"Viviendas particulares (034)",2,2,
"Ocupantes presentes (035)",9,9,
"Vivienda en quinta",,,
"Viviendas particulares (037)",64,64,
"Ocupantes presentes (038)",199,199,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",19,19,
"Ocupantes presentes (041)",44,44,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",4,3,1
"Ocupantes presentes (047)",21,16,5
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",5,5,
"Ocupantes presentes (050)",29,29,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",1242,1133,109
"Ocupantes presentes (056)",5812,5273,539
"Casa independiente",,,
"Viviendas particulares (058)",1238,1129,109
"Ocupantes presentes (059)",5801,5262,539
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",3,3,
"Ocupantes presentes (071)",7,7,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,1,
"Ocupantes presentes (077)",4,4,
"Otro tipo",,,
