"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",13962,178,5309,4552,1504,532,248,93,15,,1531
"Conviviente (001)",6054,73,2566,2002,599,172,85,32,,,525
"Separado(a) (002)",740,11,265,248,96,40,23,5,2,,50
"Casado(a) (003)",4348,47,1662,1519,511,192,74,33,7,,303
"Viudo(a) (004)",1344,24,486,435,152,54,35,16,4,,138
"Divorciado(a) (005)",51,2,21,11,5,3,1,,,,8
"Soltero(a) (006)",1425,21,309,337,141,71,30,7,2,,507
,,,,,,,,,,,
"URBANA (008)",5228,61,1742,1733,687,259,136,47,5,,558
"Conviviente (009)",2016,21,728,692,254,73,37,12,,,199
"Separado(a) (010)",310,8,108,102,41,18,12,,2,,19
"Casado(a) (011)",1806,21,617,636,251,107,50,21,1,,102
"Viudo(a) (012)",503,8,171,155,63,27,21,12,1,,45
"Divorciado(a) (013)",17,,7,3,4,2,,,,,1
"Soltero(a) (014)",576,3,111,145,74,32,16,2,1,,192
,,,,,,,,,,,
"RURAL (016)",8734,117,3567,2819,817,273,112,46,10,,973
"Conviviente (017)",4038,52,1838,1310,345,99,48,20,,,326
"Separado(a) (018)",430,3,157,146,55,22,11,5,,,31
"Casado(a) (019)",2542,26,1045,883,260,85,24,12,6,,201
"Viudo(a) (020)",841,16,315,280,89,27,14,4,3,,93
"Divorciado(a) (021)",34,2,14,8,1,1,1,,,,7
"Soltero(a) (022)",849,18,198,192,67,39,14,5,1,,315
