"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CONDORCANQUI (000)",25100,16478,8622
"De 3 a 5 años (001)",4963,139,4824
"De 6 a 11 años (002)",8647,5861,2786
"De 12 a 16 años (003)",5406,5036,370
"De 17 a 24 años (004)",6084,5442,642
"Hombres (005)",12399,8410,3989
"De 3 a 5 años (006)",2424,75,2349
"De 6 a 11 años (007)",4396,3031,1365
"De 12 a 16 años (008)",2655,2538,117
"De 17 a 24 años (009)",2924,2766,158
"Mujeres (010)",12701,8068,4633
"De 3 a 5 años (011)",2539,64,2475
"De 6 a 11 años (012)",4251,2830,1421
"De 12 a 16 años (013)",2751,2498,253
"De 17 a 24 años (014)",3160,2676,484
,,,
"URBANA (015)",3768,3049,719
"De 3 a 5 años (016)",548,39,509
"De 6 a 11 años (017)",1126,963,163
"De 12 a 16 años (018)",1078,1062,16
"De 17 a 24 años (019)",1016,985,31
"Hombres (020)",1896,1568,328
"De 3 a 5 años (021)",247,18,229
"De 6 a 11 años (022)",551,470,81
"De 12 a 16 años (023)",563,555,8
"De 17 a 24 años (024)",535,525,10
"Mujeres (025)",1872,1481,391
"De 3 a 5 años (026)",301,21,280
"De 6 a 11 años (027)",575,493,82
"De 12 a 16 años (028)",515,507,8
"De 17 a 24 años (029)",481,460,21
,,,
"RURAL (030)",21332,13429,7903
"De 3 a 5 años (031)",4415,100,4315
"De 6 a 11 años (032)",7521,4898,2623
"De 12 a 16 años (033)",4328,3974,354
"De 17 a 24 años (034)",5068,4457,611
"Hombres (035)",10503,6842,3661
"De 3 a 5 años (036)",2177,57,2120
"De 6 a 11 años (037)",3845,2561,1284
"De 12 a 16 años (038)",2092,1983,109
"De 17 a 24 años (039)",2389,2241,148
"Mujeres (040)",10829,6587,4242
"De 3 a 5 años (041)",2238,43,2195
"De 6 a 11 años (042)",3676,2337,1339
"De 12 a 16 años (043)",2236,1991,245
"De 17 a 24 años (044)",2679,2216,463
