"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONDORCANQUI (000)",38316,9613,955,19567,6834,416,496,131,304
"Quechua (001)",20,4,,10,2,1,2,,1
"Aymara (002)",3,1,1,,,,,,1
"Ashaninca (003)",6,4,,2,,,,,
"Otra lengua nativa (004)",34681,9196,831,18164,5804,299,234,72,81
"Castellano (005)",3541,364,120,1379,1027,114,260,59,218
"Idioma extranjero (006)",5,,,,,2,,,3
"Es sordomudo/a (007)",60,44,3,12,1,,,,
"Hombres (009)",19281,3750,489,9372,4718,288,342,105,217
"Quechua (010)",12,2,,6,1,,2,,1
"Aymara (011)",3,1,1,,,,,,1
"Ashaninca (012)",3,3,,,,,,,
"Otra lengua nativa (013)",17300,3572,420,8656,4114,223,183,62,70
"Castellano (014)",1922,144,66,701,602,65,157,43,144
"Idioma extranjero (015)",1,,,,,,,,1
"Es sordomudo/a (016)",40,28,2,9,1,,,,
"Mujeres (018)",19035,5863,466,10195,2116,128,154,26,87
"Quechua (019)",8,2,,4,1,1,,,
"Ashaninca (021)",3,1,,2,,,,,
"Otra lengua nativa (022)",17381,5624,411,9508,1690,76,51,10,11
"Castellano (023)",1619,220,54,678,425,49,103,16,74
"Idioma extranjero (024)",4,,,,,2,,,2
"Es sordomudo/a (025)",20,16,1,3,,,,,
,,,,,,,,,
"URBANA (027)",5888,747,251,2358,1889,169,238,47,189
"Quechua (028)",10,3,,3,1,1,2,,
"Ashaninca (030)",1,,,1,,,,,
"Otra lengua nativa (031)",4069,599,155,1764,1343,85,77,18,28
"Castellano (032)",1791,136,96,587,545,81,159,29,158
"Idioma extranjero (033)",5,,,,,2,,,3
"Es sordomudo/a (034)",12,9,,3,,,,,
"Hombres (036)",3006,286,131,1015,1138,113,157,34,132
"Quechua (037)",8,2,,3,1,,2,,
"Otra lengua nativa (040)",2062,229,77,742,855,64,58,15,22
"Castellano (041)",929,51,54,268,282,49,97,19,109
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",6,4,,2,,,,,
"Mujeres (045)",2882,461,120,1343,751,56,81,13,57
"Quechua (046)",2,1,,,,1,,,
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",2007,370,78,1022,488,21,19,3,6
"Castellano (050)",862,85,42,319,263,32,62,10,49
"Idioma extranjero (051)",4,,,,,2,,,2
"Es sordomudo/a (052)",6,5,,1,,,,,
,,,,,,,,,
"RURAL (054)",32428,8866,704,17209,4945,247,258,84,115
"Quechua (055)",10,1,,7,1,,,,1
"Aymara (056)",3,1,1,,,,,,1
"Ashaninca (057)",5,4,,1,,,,,
"Otra lengua nativa (058)",30612,8597,676,16400,4461,214,157,54,53
"Castellano (059)",1750,228,24,792,482,33,101,30,60
"Es sordomudo/a (061)",48,35,3,9,1,,,,
"Hombres (063)",16275,3464,358,8357,3580,175,185,71,85
"Quechua (064)",4,,,3,,,,,1
"Aymara (065)",3,1,1,,,,,,1
"Ashaninca (066)",3,3,,,,,,,
"Otra lengua nativa (067)",15238,3343,343,7914,3259,159,125,47,48
"Castellano (068)",993,93,12,433,320,16,60,24,35
"Es sordomudo/a (070)",34,24,2,7,1,,,,
"Mujeres (072)",16153,5402,346,8852,1365,72,73,13,30
"Quechua (073)",6,1,,4,1,,,,
"Ashaninca (075)",2,1,,1,,,,,
"Otra lengua nativa (076)",15374,5254,333,8486,1202,55,32,7,5
"Castellano (077)",757,135,12,359,162,17,41,6,25
"Es sordomudo/a (079)",14,11,1,2,,,,,
