"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCA SANCOS (000)",9211,5181,852,77,3103
"Hombres (001)",4463,2273,441,65,1685
"Mujeres (002)",4748,2908,411,12,1418
"PEA (003)",3747,1599,459,65,1625
"Hombres (004)",2342,872,276,57,1138
"Mujeres (005)",1405,727,183,8,487
"Ocupada (006)",3573,1534,450,65,1525
"Hombres (007)",2189,819,269,57,1045
"Mujeres (008)",1384,715,181,8,480
"Desocupada (009)",174,65,9,,100
"Hombres (010)",153,53,7,,93
"Mujeres (011)",21,12,2,,7
"No PEA (012)",5464,3582,393,12,1478
"Hombres (013)",2121,1401,165,8,547
"Mujeres (014)",3343,2181,228,4,931
,,,,,
"URBANA (018)",6240,3389,731,49,2072
"Hombres (019)",3025,1483,372,39,1132
"Mujeres (020)",3215,1906,359,10,940
"PEA (021)",2416,934,411,38,1034
"Hombres (022)",1511,497,238,32,745
"Mujeres (023)",905,437,173,6,289
"Ocupada (024)",2339,904,410,38,988
"Hombres (025)",1444,471,238,32,704
"Mujeres (026)",895,433,172,6,284
"Desocupada (027)",77,30,1,,46
"Hombres (028)",67,26,,,41
"Mujeres (029)",10,4,1,,5
"No PEA (030)",3824,2455,320,11,1038
"Hombres (031)",1514,986,134,7,387
"Mujeres (032)",2310,1469,186,4,651
,,,,,
"RURAL (036)",2971,1792,121,28,1031
"Hombres (037)",1438,790,69,26,553
"Mujeres (038)",1533,1002,52,2,478
"PEA (039)",1331,665,48,27,591
"Hombres (040)",831,375,38,25,393
"Mujeres (041)",500,290,10,2,198
"Ocupada (042)",1234,630,40,27,537
"Hombres (043)",745,348,31,25,341
"Mujeres (044)",489,282,9,2,196
"Desocupada (045)",97,35,8,,54
"Hombres (046)",86,27,7,,52
"Mujeres (047)",11,8,1,,2
"No PEA (048)",1640,1127,73,1,440
"Hombres (049)",607,415,31,1,160
"Mujeres (050)",1033,712,42,,280
