"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia HUARAL (000)",128224,17330,24266,26753,22003,15800,22072
"Católica (001)",109018,14715,20422,22645,18811,13527,18898
"Cristiana/Evangélica (002)",13355,1792,2508,2795,2247,1650,2363
"Otra (003)",2877,343,505,610,472,383,564
"Ninguna (004)",2974,480,831,703,473,240,247
"Hombres (006)",64777,8832,12335,13438,10913,8034,11225
"Católica (007)",55381,7575,10358,11354,9376,6967,9751
"Cristiana/Evangélica (008)",6276,835,1217,1396,1032,736,1060
"Otra (009)",1336,158,258,272,213,170,265
"Ninguna (010)",1784,264,502,416,292,161,149
"Mujeres (012)",63447,8498,11931,13315,11090,7766,10847
"Católica (013)",53637,7140,10064,11291,9435,6560,9147
"Cristiana/Evangélica (014)",7079,957,1291,1399,1215,914,1303
"Otra (015)",1541,185,247,338,259,213,299
"Ninguna (016)",1190,216,329,287,181,79,98
,,,,,,,
"URBANA (018)",105986,14659,20002,21904,18376,13138,17907
"Católica (019)",89365,12298,16668,18409,15598,11193,15199
"Cristiana/Evangélica (020)",11341,1602,2138,2304,1930,1381,1986
"Otra (021)",2665,322,467,575,434,356,511
"Ninguna (022)",2615,437,729,616,414,208,211
"Hombres (024)",52364,7408,9958,10621,8902,6521,8954
"Católica (025)",44487,6277,8282,8948,7624,5632,7724
"Cristiana/Evangélica (026)",5119,743,1012,1067,836,596,865
"Otra (027)",1209,149,230,248,191,153,238
"Ninguna (028)",1549,239,434,358,251,140,127
"Mujeres (030)",53622,7251,10044,11283,9474,6617,8953
"Católica (031)",44878,6021,8386,9461,7974,5561,7475
"Cristiana/Evangélica (032)",6222,859,1126,1237,1094,785,1121
"Otra (033)",1456,173,237,327,243,203,273
"Ninguna (034)",1066,198,295,258,163,68,84
,,,,,,,
"RURAL (036)",22238,2671,4264,4849,3627,2662,4165
"Católica (037)",19653,2417,3754,4236,3213,2334,3699
"Cristiana/Evangélica (038)",2014,190,370,491,317,269,377
"Otra (039)",212,21,38,35,38,27,53
"Ninguna (040)",359,43,102,87,59,32,36
"Hombres (042)",12413,1424,2377,2817,2011,1513,2271
"Católica (043)",10894,1298,2076,2406,1752,1335,2027
"Cristiana/Evangélica (044)",1157,92,205,329,196,140,195
"Otra (045)",127,9,28,24,22,17,27
"Ninguna (046)",235,25,68,58,41,21,22
"Mujeres (048)",9825,1247,1887,2032,1616,1149,1894
"Católica (049)",8759,1119,1678,1830,1461,999,1672
"Cristiana/Evangélica (050)",857,98,165,162,121,129,182
"Otra (051)",85,12,10,11,16,10,26
"Ninguna (052)",124,18,34,29,18,11,14
