"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUARMEY (000)",11844,1584,3397,3114,3749
"Asiste actualmente (001)",8074,904,3290,2823,1057
"No asiste (002)",3770,680,107,291,2692
"Hombres (004)",6143,847,1735,1620,1941
"Asiste actualmente (005)",4172,483,1678,1454,557
"No asiste (006)",1971,364,57,166,1384
"Mujeres (008)",5701,737,1662,1494,1808
"Asiste actualmente (009)",3902,421,1612,1369,500
"No asiste (010)",1799,316,50,125,1308
,,,,,
"URBANA (012)",8853,1147,2531,2374,2801
"Asiste actualmente (013)",6245,673,2461,2211,900
"No asiste (014)",2608,474,70,163,1901
"Hombres (016)",4502,592,1281,1217,1412
"Asiste actualmente (017)",3151,339,1242,1117,453
"No asiste (018)",1351,253,39,100,959
"Mujeres (020)",4351,555,1250,1157,1389
"Asiste actualmente (021)",3094,334,1219,1094,447
"No asiste (022)",1257,221,31,63,942
,,,,,
"RURAL (024)",2991,437,866,740,948
"Asiste actualmente (025)",1829,231,829,612,157
"No asiste (026)",1162,206,37,128,791
"Hombres (028)",1641,255,454,403,529
"Asiste actualmente (029)",1021,144,436,337,104
"No asiste (030)",620,111,18,66,425
"Mujeres (032)",1350,182,412,337,419
"Asiste actualmente (033)",808,87,393,275,53
"No asiste (034)",542,95,19,62,366
