"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AREQUIPA (000)",21324,4454,16870
"De 14 a 29 años (001)",9940,3440,6500
"De 30 a 44 años (002)",6787,851,5936
"De 45 a 64 años (003)",3958,163,3795
"De 65 y más años (004)",639,,639
"Hombres (005)",12656,2229,10427
"De 14 a 29 años (006)",5490,1799,3691
"De 30 a 44 años (007)",3822,353,3469
"De 45 a 64 años (008)",2820,77,2743
"De 65 y más años (009)",524,,524
"Mujeres (010)",8668,2225,6443
"De 14 a 29 años (011)",4450,1641,2809
"De 30 a 44 años (012)",2965,498,2467
"De 45 a 64 años (013)",1138,86,1052
"De 65 y más años (014)",115,,115
,,,
"AREA URBANA (015)",21040,4389,16651
"De 14 a 29 años (016)",9803,3387,6416
"De 30 a 44 años (017)",6695,841,5854
"De 45 a 64 años (018)",3914,161,3753
"De 65 y más años (019)",628,,628
"Hombres (020)",12454,2189,10265
"De 14 a 29 años (021)",5402,1767,3635
"De 30 a 44 años (022)",3756,345,3411
"De 45 a 64 años (023)",2783,77,2706
"De 65 y más años (024)",513,,513
"Mujeres (025)",8586,2200,6386
"De 14 a 29 años (026)",4401,1620,2781
"De 30 a 44 años (027)",2939,496,2443
"De 45 a 64 años (028)",1131,84,1047
"De 65 y más años (029)",115,,115
,,,
"AREA RURAL (030)",284,65,219
"De 14 a 29 años (031)",137,53,84
"De 30 a 44 años (032)",92,10,82
"De 45 a 64 años (033)",44,2,42
"De 65 y más años (034)",11,,11
"Hombres (035)",202,40,162
"De 14 a 29 años (036)",88,32,56
"De 30 a 44 años (037)",66,8,58
"De 45 a 64 años (038)",37,,37
"De 65 y más años (039)",11,,11
"Mujeres (040)",82,25,57
"De 14 a 29 años (041)",49,21,28
"De 30 a 44 años (042)",26,2,24
"De 45 a 64 años (043)",7,2,5
