"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia GRAU (000)",375,1,189,124,48,13
"Conviviente (001)",145,,61,73,11,
"Separado(a) (002)",6,,4,1,1,
"Casado(a) (003)",73,,6,26,31,10
"Viudo(a) (004)",9,,1,1,4,3
"Soltero(a) (006)",142,1,117,23,1,
"Hombres (008)",304,,140,105,46,13
"Conviviente (009)",118,,44,63,11,
"Separado(a) (010)",3,,1,1,1,
"Casado(a) (011)",69,,6,23,30,10
"Viudo(a) (012)",7,,,1,3,3
"Soltero(a) (014)",107,,89,17,1,
"Mujeres (016)",71,1,49,19,2,
"Conviviente (017)",27,,17,10,,
"Separado(a) (018)",3,,3,,,
"Casado(a) (019)",4,,,3,1,
"Viudo(a) (020)",2,,1,,1,
"Soltero(a) (022)",35,1,28,6,,
,,,,,,
"AREA URBANA (024)",180,1,88,59,25,7
"Conviviente (025)",73,,30,36,7,
"Separado(a) (026)",3,,2,1,,
"Casado(a) (027)",37,,2,13,17,5
"Viudo(a) (028)",4,,1,,1,2
"Soltero(a) (030)",63,1,53,9,,
"Hombres (032)",141,,59,50,25,7
"Conviviente (033)",53,,16,30,7,
"Separado(a) (034)",1,,,1,,
"Casado(a) (035)",36,,2,12,17,5
"Viudo(a) (036)",3,,,,1,2
"Soltero(a) (038)",48,,41,7,,
"Mujeres (040)",39,1,29,9,,
"Conviviente (041)",20,,14,6,,
"Separado(a) (042)",2,,2,,,
"Casado(a) (043)",1,,,1,,
"Viudo(a) (044)",1,,1,,,
"Soltero(a) (046)",15,1,12,2,,
,,,,,,
"AREA RURAL (048)",195,,101,65,23,6
"Conviviente (049)",72,,31,37,4,
"Separado(a) (050)",3,,2,,1,
"Casado(a) (051)",36,,4,13,14,5
"Viudo(a) (052)",5,,,1,3,1
"Soltero(a) (054)",79,,64,14,1,
"Hombres (056)",163,,81,55,21,6
"Conviviente (057)",65,,28,33,4,
"Separado(a) (058)",2,,1,,1,
"Casado(a) (059)",33,,4,11,13,5
"Viudo(a) (060)",4,,,1,2,1
"Soltero(a) (062)",59,,48,10,1,
"Mujeres (064)",32,,20,10,2,
"Conviviente (065)",7,,3,4,,
"Separado(a) (066)",1,,1,,,
"Casado(a) (067)",3,,,2,1,
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",20,,16,4,,
