"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia URUBAMBA (000)",19685,13955,2525,1555,1650
"Agric., ganadería, caza y silvicultura (001)",6800,5903,830,57,10
"Pesca (002)",7,5,1,,1
"Explotación de minas y canteras (003)",21,6,5,7,3
"Industrias manufactureras (004)",962,815,89,37,21
"Suministro de electricidad, gas y agua (005)",44,6,1,23,14
"Construcción (006)",1692,834,349,248,261
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2659,2455,165,36,3
"Venta, mant.y rep. veh.autom y motoc. (008)",133,110,21,2,
"Comercio al por mayor (009)",82,64,6,9,3
"Comercio al por menor (010)",2444,2281,138,25,
"Hoteles y restaurantes (011)",2024,1117,283,341,283
"Trans., almac. y comunicaciones (012)",1508,1003,205,183,117
"Intermediación financiera (013)",23,8,2,3,10
"Activid.inmobil., empres. y alquileres (014)",382,191,57,63,71
"Admin.pub. y defensa; p. segur soc.afil (015)",588,,,,588
"Enseñanza (016)",1065,238,344,397,86
"Servicios sociales y de salud (017)",199,64,15,19,101
"Otras activ. serv.comun.soc y personales (018)",422,263,61,69,29
"Hogares privados con servicio doméstico (019)",383,383,,,
"Organiz. y organos extraterritoriales (020)",3,,,,3
"Actividad economica no especificada (021)",903,664,118,72,49
"Hombres (022)",13371,9050,1862,1144,1315
"Agric., ganadería, caza y silvicultura (023)",5855,5055,740,51,9
"Pesca (024)",6,4,1,,1
"Explotación de minas y canteras (025)",19,6,5,6,2
"Industrias manufactureras (026)",579,484,52,24,19
"Suministro de electricidad, gas y agua (027)",35,5,1,17,12
"Construcción (028)",1663,822,341,242,258
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",764,676,62,25,1
"Venta, mant.y rep. veh.autom y motoc. (030)",123,101,20,2,
"Comercio al por mayor (031)",41,28,4,8,1
"Comercio al por menor (032)",600,547,38,15,
"Hoteles y restaurantes (033)",962,328,155,239,240
"Trans., almac. y comunicaciones (034)",1342,905,174,169,94
"Intermediación financiera (035)",11,2,1,1,7
"Activid.inmobil., empres. y alquileres (036)",292,139,45,50,58
"Admin.pub. y defensa; p. segur soc.afil (037)",468,,,,468
"Enseñanza (038)",480,69,157,208,46
"Servicios sociales y de salud (039)",77,26,5,7,39
"Otras activ. serv.comun.soc y personales (040)",297,174,43,57,23
