"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TARMA (000)",111056,1696,31920,29017,21711,17633,9079
"Casa independiente (001)",105200,1607,30135,27445,20441,16803,8769
"Departamento en edificio (002)",1056,18,306,279,248,171,34
"Vivienda en quinta (003)",2355,41,718,665,512,305,114
"Vivienda en casa de vecindad (004)",1539,23,477,413,349,197,80
"Choza o cabaña (005)",757,5,241,175,124,137,75
"Vivienda improvisada (006)",11,,3,5,2,1,
"Local no destinado para hab.humana (007)",126,1,36,34,30,18,7
"Otro tipo (008)",12,1,4,1,5,1,
,,,,,,,
"URBANA (009)",71545,1076,19902,18687,14626,11481,5773
"Casa independiente (010)",66462,993,18362,17294,13485,10790,5538
"Departamento en edificio (011)",1056,18,306,279,248,171,34
"Vivienda en quinta (012)",2355,41,718,665,512,305,114
"Vivienda en casa de vecindad (013)",1539,23,477,413,349,197,80
"Vivienda improvisada (015)",11,,3,5,2,1,
"Local no destinado para hab.humana (016)",117,1,35,31,26,17,7
"Otro tipo (017)",5,,1,,4,,
,,,,,,,
"RURAL (018)",39511,620,12018,10330,7085,6152,3306
"Casa independiente (019)",38738,614,11773,10151,6956,6013,3231
"Choza o cabaña (023)",757,5,241,175,124,137,75
"Local no destinado para hab.humana (025)",9,,1,3,4,1,
"Otro tipo (026)",7,1,3,1,1,1,
