"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCAVELICA (000)",45014,35605,2597,2015,4797
"Empleado (001)",8319,1727,1385,1324,3883
"Obrero (002)",4038,2010,487,642,899
"Trabajador independiente (003)",22229,21739,490,,
"Empleador o patrono (004)",260,204,30,23,3
"Trabajador familiar no remunerado (005)",9729,9486,205,26,12
"Trabajador del hogar (006)",439,439,,,
"De 06 a 14 años (008)",834,793,39,2,
"Empleado (009)",20,19,1,,
"Obrero (010)",17,13,3,1,
"Trabajador independiente (011)",89,85,4,,
"Empleador o patrono (012)",1,,1,,
"Trabajador familiar no remunerado (013)",688,657,30,1,
"Trabajador del hogar (014)",19,19,,,
"De 15 a 29 años (016)",14965,12193,893,607,1272
"Empleado (017)",2307,683,393,295,936
"Obrero (018)",1689,838,226,293,332
"Trabajador independiente (019)",5805,5639,166,,
"Empleador o patrono (020)",74,58,7,8,1
"Trabajador familiar no remunerado (021)",4805,4690,101,11,3
"Trabajador del hogar (022)",285,285,,,
"De 30 a 44 años (024)",15366,10932,1159,990,2285
"Empleado (025)",4146,731,750,711,1954
"Obrero (026)",1378,621,171,260,326
"Trabajador independiente (027)",7432,7251,181,,
"Empleador o patrono (028)",91,65,13,11,2
"Trabajador familiar no remunerado (029)",2244,2189,44,8,3
"Trabajador del hogar (030)",75,75,,,
"De 45 a 64 años (032)",10762,8692,476,400,1194
"Empleado (033)",1787,277,237,311,962
"Obrero (034)",839,445,83,81,230
"Trabajador independiente (035)",6447,6329,118,,
"Empleador o patrono (036)",69,58,8,3,
"Trabajador familiar no remunerado (037)",1569,1532,30,5,2
"Trabajador del hogar (038)",51,51,,,
"De 65 y más años (040)",3087,2995,30,16,46
"Empleado (041)",59,17,4,7,31
"Obrero (042)",115,93,4,7,11
"Trabajador independiente (043)",2456,2435,21,,
"Empleador o patrono (044)",25,23,1,1,
"Trabajador familiar no remunerado (045)",423,418,,1,4
"Trabajador del hogar (046)",9,9,,,
,,,,,
"URBANA (048)",18471,10616,1860,1723,4272
"Empleado (049)",7568,1470,1225,1240,3633
"Obrero (050)",2472,1079,301,456,636
"Trabajador independiente (051)",6848,6582,266,,
"Empleador o patrono (052)",174,143,16,14,1
