"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AREQUIPA (000)",21324,4454,16870
"Sin nivel (001)",526,63,463
"Educación inicial (002)",11,4,7
"Primaria (003)",2463,281,2182
"Secundaria (004)",7624,1766,5858
"Superior no univ. incompleta (005)",1967,481,1486
"Superior no univ. completa (006)",3131,605,2526
"Superior univ. incompleta (007)",1876,518,1358
"Superior univ. completa (008)",3726,736,2990
"Hombres (010)",12656,2229,10427
"Sin nivel (011)",223,23,200
"Educación inicial (012)",10,4,6
"Primaria (013)",1541,108,1433
"Secundaria (014)",4939,971,3968
"Superior no univ. incompleta (015)",1208,252,956
"Superior no univ. completa (016)",1656,272,1384
"Superior univ. incompleta (017)",1210,297,913
"Superior univ. completa (018)",1869,302,1567
"Mujeres (020)",8668,2225,6443
"Sin nivel (021)",303,40,263
"Educación inicial (022)",1,,1
"Primaria (023)",922,173,749
"Secundaria (024)",2685,795,1890
"Superior no univ. incompleta (025)",759,229,530
"Superior no univ. completa (026)",1475,333,1142
"Superior univ. incompleta (027)",666,221,445
"Superior univ. completa (028)",1857,434,1423
,,,
"AREA URBANA (030)",21040,4389,16651
"Sin nivel (031)",503,60,443
"Educación inicial (032)",11,4,7
"Primaria (033)",2400,267,2133
"Secundaria (034)",7509,1735,5774
"Superior no univ. incompleta (035)",1939,472,1467
"Superior no univ. completa (036)",3114,602,2512
"Superior univ. incompleta (037)",1861,516,1345
"Superior univ. completa (038)",3703,733,2970
"Hombres (040)",12454,2189,10265
"Sin nivel (041)",205,20,185
"Educación inicial (042)",10,4,6
"Primaria (043)",1497,101,1396
"Secundaria (044)",4855,949,3906
"Superior no univ. incompleta (045)",1191,247,944
"Superior no univ. completa (046)",1645,271,1374
"Superior univ. incompleta (047)",1200,297,903
"Superior univ. completa (048)",1851,300,1551
"Mujeres (050)",8586,2200,6386
"Sin nivel (051)",298,40,258
"Educación inicial (052)",1,,1
"Primaria (053)",903,166,737
"Secundaria (054)",2654,786,1868
"Superior no univ. incompleta (055)",748,225,523
"Superior no univ. completa (056)",1469,331,1138
"Superior univ. incompleta (057)",661,219,442
"Superior univ. completa (058)",1852,433,1419
,,,
"AREA RURAL (060)",284,65,219
"Sin nivel (061)",23,3,20
"Primaria (063)",63,14,49
"Secundaria (064)",115,31,84
"Superior no univ. incompleta (065)",28,9,19
"Superior no univ. completa (066)",17,3,14
"Superior univ. incompleta (067)",15,2,13
"Superior univ. completa (068)",23,3,20
"Hombres (070)",202,40,162
"Sin nivel (071)",18,3,15
"Primaria (073)",44,7,37
"Secundaria (074)",84,22,62
"Superior no univ. incompleta (075)",17,5,12
"Superior no univ. completa (076)",11,1,10
"Superior univ. incompleta (077)",10,,10
"Superior univ. completa (078)",18,2,16
"Mujeres (080)",82,25,57
"Sin nivel (081)",5,,5
"Primaria (083)",19,7,12
"Secundaria (084)",31,9,22
"Superior no univ. incompleta (085)",11,4,7
"Superior no univ. completa (086)",6,2,4
"Superior univ. incompleta (087)",5,2,3
"Superior univ. completa (088)",5,1,4
