"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SULLANA (000)",110969,104453,31446,15706,16446,12100,13589,7137,8029,6516
"Católica (001)",97863,92057,27690,14140,14690,10651,11810,6117,6959,5806
"Cristiana/Evangélica (002)",9089,8618,2533,1014,1176,995,1302,778,820,471
"Otra (003)",2983,2805,891,353,409,337,392,203,220,178
"Ninguna (004)",1034,973,332,199,171,117,85,39,30,61
,,,,,,,,,,
"URBANA (006)",100715,94678,28316,14462,15234,11152,12339,6293,6882,6037
"Católica (007)",88705,83335,24872,13003,13588,9826,10708,5368,5970,5370
"Cristiana/Evangélica (008)",8269,7826,2303,939,1094,908,1186,705,691,443
"Otra (009)",2780,2610,826,334,393,312,363,185,197,170
"Ninguna (010)",961,907,315,186,159,106,82,35,24,54
,,,,,,,,,,
"RURAL (012)",10254,9775,3130,1244,1212,948,1250,844,1147,479
"Católica (013)",9158,8722,2818,1137,1102,825,1102,749,989,436
"Cristiana/Evangélica (014)",820,792,230,75,82,87,116,73,129,28
"Otra (015)",203,195,65,19,16,25,29,18,23,8
"Ninguna (016)",73,66,17,13,12,11,3,4,6,7
