"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TACNA (000)",235441,17797,44330,13398,160744
"Hombres (001)",116291,7965,21229,8056,79525
"Mujeres (002)",119150,9832,23101,5342,81219
"PEA (003)",121305,5118,23783,6988,85985
"Hombres (004)",69628,2454,12817,4841,49881
"Mujeres (005)",51677,2664,10966,2147,36104
"Ocupada (006)",113629,4783,23226,6724,79458
"Hombres (007)",64978,2301,12502,4671,45865
"Mujeres (008)",48651,2482,10724,2053,33593
"Desocupada (009)",7676,335,557,264,6527
"Hombres (010)",4650,153,315,170,4016
"Mujeres (011)",3026,182,242,94,2511
"No PEA (012)",114136,12679,20547,6410,74759
"Hombres (013)",46663,5511,8412,3215,29644
"Mujeres (014)",67473,7168,12135,3195,45115
,,,,,
"URBANA (018)",220302,15755,43098,12910,149359
"Hombres (019)",107880,6998,20526,7694,73142
"Mujeres (020)",112422,8757,22572,5216,76217
"PEA (021)",112458,4399,23025,6726,78870
"Hombres (022)",63745,2044,12305,4630,45127
"Mujeres (023)",48713,2355,10720,2096,33743
"Ocupada (024)",105217,4094,22483,6470,72725
"Hombres (025)",59401,1913,12004,4466,41375
"Mujeres (026)",45816,2181,10479,2004,31350
"Desocupada (027)",7241,305,542,256,6145
"Hombres (028)",4344,131,301,164,3752
"Mujeres (029)",2897,174,241,92,2393
"No PEA (030)",107844,11356,20073,6184,70489
"Hombres (031)",44135,4954,8221,3064,28015
"Mujeres (032)",63709,6402,11852,3120,42474
,,,,,
"RURAL (036)",15139,2042,1232,488,11385
"Hombres (037)",8411,967,703,362,6383
"Mujeres (038)",6728,1075,529,126,5002
"PEA (039)",8847,719,758,262,7115
"Hombres (040)",5883,410,512,211,4754
"Mujeres (041)",2964,309,246,51,2361
"Ocupada (042)",8412,689,743,254,6733
"Hombres (043)",5577,388,498,205,4490
"Mujeres (044)",2835,301,245,49,2243
"Desocupada (045)",435,30,15,8,382
"Hombres (046)",306,22,14,6,264
"Mujeres (047)",129,8,1,2,118
"No PEA (048)",6292,1323,474,226,4270
"Hombres (049)",2528,557,191,151,1629
"Mujeres (050)",3764,766,283,75,2641
