"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia YUNGUYO (000)",1156,18,641,329,141,27
"Sin nivel (001)",52,2,6,20,17,7
"Educación inicial (002)",1,,1,,,
"Primaria (003)",282,9,77,100,84,12
"Secundaria (004)",663,7,467,148,33,8
"Superior no univ. incompleta (005)",45,,33,11,1,
"Superior no univ. completa (006)",51,,28,21,2,
"Superior univ. incompleta (007)",20,,14,6,,
"Superior univ. completa (008)",42,,15,23,4,
"Hombres (010)",806,11,415,241,117,22
"Sin nivel (011)",30,2,4,8,10,6
"Educación inicial (012)",1,,1,,,
"Primaria (013)",195,6,42,67,71,9
"Secundaria (014)",469,3,305,125,29,7
"Superior no univ. incompleta (015)",31,,21,9,1,
"Superior no univ. completa (016)",34,,20,12,2,
"Superior univ. incompleta (017)",14,,10,4,,
"Superior univ. completa (018)",32,,12,16,4,
"Mujeres (020)",350,7,226,88,24,5
"Sin nivel (021)",22,,2,12,7,1
"Primaria (023)",87,3,35,33,13,3
"Secundaria (024)",194,4,162,23,4,1
"Superior no univ. incompleta (025)",14,,12,2,,
"Superior no univ. completa (026)",17,,8,9,,
"Superior univ. incompleta (027)",6,,4,2,,
"Superior univ. completa (028)",10,,3,7,,
,,,,,,
"Area Urbana (030)",442,5,210,142,69,16
"Sin nivel (031)",17,,,5,8,4
"Primaria (033)",91,2,15,36,34,4
"Secundaria (034)",235,3,141,60,23,8
"Superior no univ. incompleta (035)",24,,16,7,1,
"Superior no univ. completa (036)",38,,21,16,1,
"Superior univ. incompleta (037)",12,,7,5,,
"Superior univ. completa (038)",25,,10,13,2,
"Hombres (040)",284,3,126,91,51,13
"Sin nivel (041)",9,,,2,4,3
"Primaria (043)",58,2,10,19,24,3
"Secundaria (044)",153,1,81,45,19,7
"Superior no univ. incompleta (045)",15,,9,5,1,
"Superior no univ. completa (046)",25,,15,9,1,
"Superior univ. incompleta (047)",7,,4,3,,
"Superior univ. completa (048)",17,,7,8,2,
"Mujeres (050)",158,2,84,51,18,3
"Sin nivel (051)",8,,,3,4,1
"Primaria (053)",33,,5,17,10,1
"Secundaria (054)",82,2,60,15,4,1
"Superior no univ. incompleta (055)",9,,7,2,,
"Superior no univ. completa (056)",13,,6,7,,
"Superior univ. incompleta (057)",5,,3,2,,
"Superior univ. completa (058)",8,,3,5,,
,,,,,,
"Area Rural (060)",714,13,431,187,72,11
"Sin nivel (061)",35,2,6,15,9,3
"Educación inicial (062)",1,,1,,,
"Primaria (063)",191,7,62,64,50,8
"Secundaria (064)",428,4,326,88,10,
"Superior no univ. incompleta (065)",21,,17,4,,
"Superior no univ. completa (066)",13,,7,5,1,
"Superior univ. incompleta (067)",8,,7,1,,
"Superior univ. completa (068)",17,,5,10,2,
"Hombres (070)",522,8,289,150,66,9
"Sin nivel (071)",21,2,4,6,6,3
"Educación inicial (072)",1,,1,,,
"Primaria (073)",137,4,32,48,47,6
"Secundaria (074)",316,2,224,80,10,
"Superior no univ. incompleta (075)",16,,12,4,,
"Superior no univ. completa (076)",9,,5,3,1,
"Superior univ. incompleta (077)",7,,6,1,,
"Superior univ. completa (078)",15,,5,8,2,
"Mujeres (080)",192,5,142,37,6,2
"Sin nivel (081)",14,,2,9,3,
"Primaria (083)",54,3,30,16,3,2
"Secundaria (084)",112,2,102,8,,
"Superior no univ. incompleta (085)",5,,5,,,
"Superior no univ. completa (086)",4,,2,2,,
"Superior univ. incompleta (087)",1,,1,,,
"Superior univ. completa (088)",2,,,2,,
