"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LEONCIO PRADO (000)",101702,23982,33599,23401,15743,4977
"Hombres (001)",53297,12459,17569,12051,8583,2635
"Mujeres (002)",48405,11523,16030,11350,7160,2342
"PEA (003)",46569,1251,16544,15987,10677,2110
"Hombres (004)",33650,932,12121,11200,7728,1669
"Mujeres (005)",12919,319,4423,4787,2949,441
"Ocupada (006)",44205,1141,15369,15333,10340,2022
"Hombres (007)",31965,857,11349,10702,7458,1599
"Mujeres (008)",12240,284,4020,4631,2882,423
"Desocupada (009)",2364,110,1175,654,337,88
"Hombres (010)",1685,75,772,498,270,70
"Mujeres (011)",679,35,403,156,67,18
"No PEA (012)",55133,22731,17055,7414,5066,2867
"Hombres (013)",19647,11527,5448,851,855,966
"Mujeres (014)",35486,11204,11607,6563,4211,1901
,,,,,,
"URBANA (018)",60602,13390,20390,14158,9739,2925
"Hombres (019)",30208,6784,10186,6813,5014,1411
"Mujeres (020)",30394,6606,10204,7345,4725,1514
"PEA (021)",28049,588,9660,10087,6714,1000
"Hombres (022)",17931,390,6235,6221,4385,700
"Mujeres (023)",10118,198,3425,3866,2329,300
"Ocupada (024)",26549,557,8879,9663,6497,953
"Hombres (025)",16962,370,5780,5929,4220,663
"Mujeres (026)",9587,187,3099,3734,2277,290
"Desocupada (027)",1500,31,781,424,217,47
"Hombres (028)",969,20,455,292,165,37
"Mujeres (029)",531,11,326,132,52,10
"No PEA (030)",32553,12802,10730,4071,3025,1925
"Hombres (031)",12277,6394,3951,592,629,711
"Mujeres (032)",20276,6408,6779,3479,2396,1214
,,,,,,
"RURAL (036)",41100,10592,13209,9243,6004,2052
"Hombres (037)",23089,5675,7383,5238,3569,1224
"Mujeres (038)",18011,4917,5826,4005,2435,828
"PEA (039)",18520,663,6884,5900,3963,1110
"Hombres (040)",15719,542,5886,4979,3343,969
"Mujeres (041)",2801,121,998,921,620,141
"Ocupada (042)",17656,584,6490,5670,3843,1069
"Hombres (043)",15003,487,5569,4773,3238,936
"Mujeres (044)",2653,97,921,897,605,133
"Desocupada (045)",864,79,394,230,120,41
"Hombres (046)",716,55,317,206,105,33
"Mujeres (047)",148,24,77,24,15,8
"No PEA (048)",22580,9929,6325,3343,2041,942
"Hombres (049)",7370,5133,1497,259,226,255
"Mujeres (050)",15210,4796,4828,3084,1815,687
