"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia GRAN CHIMU (000)",10445,1188,2677,4735,117,1178,206,344
"Agric., ganadería, caza y silvicultura (001)",6300,5,1412,3787,69,1027,,
"Explotación de minas y canteras (003)",1205,286,883,31,4,1,,
"Industrias manufactureras (004)",169,13,51,89,6,10,,
"Suministro de electricidad, gas y agua (005)",13,2,11,,,,,
"Construcción (006)",236,4,172,45,2,13,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",545,60,6,409,13,57,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",28,1,2,25,,,,
"Comercio al por mayor (009)",34,4,3,21,3,3,,
"Comercio al por menor (010)",483,55,1,363,10,54,,
"Hoteles y restaurantes (011)",186,49,15,96,15,11,,
"Trans., almac. y comunicaciones (012)",173,60,55,55,3,,,
"Intermediación financiera (013)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (014)",56,46,5,3,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",122,106,16,,,,,
"Enseñanza (016)",487,422,,65,,,,
"Servicios sociales y de salud (017)",70,61,,9,,,,
"Otras activ. serv.comun.soc y personales (018)",86,44,8,30,1,3,,
"Hogares privados con servicio doméstico (019)",206,,,,,,206,
"Actividad economica no especificada (021)",245,28,43,116,2,56,,
"Desocupado (022)",344,,,,,,,344
"Hombres (023)",8951,735,2559,4222,100,1031,12,292
"Agric., ganadería, caza y silvicultura (024)",6141,4,1369,3725,67,976,,
"Explotación de minas y canteras (026)",1142,254,852,31,4,1,,
"Industrias manufactureras (027)",117,8,44,55,4,6,,
"Suministro de electricidad, gas y agua (028)",12,2,10,,,,,
"Construcción (029)",234,4,170,45,2,13,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",290,33,6,222,10,19,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",25,1,2,22,,,,
"Comercio al por mayor (032)",26,3,3,17,3,,,
"Comercio al por menor (033)",239,29,1,183,7,19,,
"Hoteles y restaurantes (034)",47,12,8,17,6,4,,
"Trans., almac. y comunicaciones (035)",167,56,54,54,3,,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",45,36,4,3,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",91,77,14,,,,,
"Enseñanza (039)",210,184,,26,,,,
"Servicios sociales y de salud (040)",30,23,,7,,,,
"Otras activ. serv.comun.soc y personales (041)",50,28,2,17,1,2,,
"Hogares privados con servicio doméstico (042)",12,,,,,,12,
"Actividad economica no especificada (044)",70,13,26,20,1,10,,
"Desocupado (045)",292,,,,,,,292
"Mujeres (046)",1494,453,118,513,17,147,194,52
"Agric., ganadería, caza y silvicultura (047)",159,1,43,62,2,51,,
"Explotación de minas y canteras (049)",63,32,31,,,,,
"Industrias manufactureras (050)",52,5,7,34,2,4,,
"Suministro de electricidad, gas y agua (051)",1,,1,,,,,
"Construcción (052)",2,,2,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",255,27,,187,3,38,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",3,,,3,,,,
"Comercio al por mayor (055)",8,1,,4,,3,,
"Comercio al por menor (056)",244,26,,180,3,35,,
"Hoteles y restaurantes (057)",139,37,7,79,9,7,,
"Trans., almac. y comunicaciones (058)",6,4,1,1,,,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",11,10,1,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",31,29,2,,,,,
"Enseñanza (062)",277,238,,39,,,,
"Servicios sociales y de salud (063)",40,38,,2,,,,
"Otras activ. serv.comun.soc y personales (064)",36,16,6,13,,1,,
"Hogares privados con servicio doméstico (065)",194,,,,,,194,
"Actividad economica no especificada (067)",175,15,17,96,1,46,,
,,,,,,,,
"URBANA (068)",2381,557,592,881,56,154,76,65
"Agric., ganadería, caza y silvicultura (069)",750,1,312,346,23,68,,
"Explotación de minas y canteras (071)",113,6,103,4,,,,
"Industrias manufactureras (072)",98,11,25,48,5,9,,
"Suministro de electricidad, gas y agua (073)",5,,5,,,,,
"Construcción (074)",116,4,84,25,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",369,45,4,267,9,44,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",16,,1,15,,,,
"Comercio al por mayor (077)",26,3,3,15,2,3,,
"Comercio al por menor (078)",327,42,,237,7,41,,
"Hoteles y restaurantes (079)",120,27,6,64,15,8,,
"Trans., almac. y comunicaciones (080)",100,39,28,33,,,,
"Intermediación financiera (081)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (082)",29,24,1,3,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",95,85,10,,,,,
"Enseñanza (084)",259,225,,34,,,,
"Servicios sociales y de salud (085)",53,47,,6,,,,
"Otras activ. serv.comun.soc y personales (086)",64,30,3,28,1,2,,
"Hogares privados con servicio doméstico (087)",76,,,,,,76,
"Actividad economica no especificada (089)",68,12,11,23,,22,,
"Desocupado (090)",65,,,,,,,65
"Hombres (091)",1669,293,558,626,42,92,5,53
"Agric., ganadería, caza y silvicultura (092)",728,,304,336,22,66,,
"Explotación de minas y canteras (094)",104,4,96,4,,,,
"Industrias manufactureras (095)",63,6,21,27,3,6,,
"Suministro de electricidad, gas y agua (096)",5,,5,,,,,
"Construcción (097)",114,4,82,25,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",191,22,4,147,7,11,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",14,,1,13,,,,
"Comercio al por mayor (100)",20,2,3,13,2,,,
"Comercio al por menor (101)",157,20,,121,5,11,,
"Hoteles y restaurantes (102)",22,1,2,11,6,2,,
"Trans., almac. y comunicaciones (103)",94,35,27,32,,,,
"Activid.inmobil., empres. y alquileres (105)",23,18,1,3,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",68,60,8,,,,,
"Enseñanza (107)",113,100,,13,,,,
"Servicios sociales y de salud (108)",23,18,,5,,,,
"Otras activ. serv.comun.soc y personales (109)",41,20,1,17,1,2,,
"Hogares privados con servicio doméstico (110)",5,,,,,,5,
"Actividad economica no especificada (112)",22,5,7,6,,4,,
"Desocupado (113)",53,,,,,,,53
"Mujeres (114)",712,264,34,255,14,62,71,12
"Agric., ganadería, caza y silvicultura (115)",22,1,8,10,1,2,,
"Explotación de minas y canteras (117)",9,2,7,,,,,
"Industrias manufactureras (118)",35,5,4,21,2,3,,
"Construcción (120)",2,,2,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",178,23,,120,2,33,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",2,,,2,,,,
"Comercio al por mayor (123)",6,1,,2,,3,,
"Comercio al por menor (124)",170,22,,116,2,30,,
"Hoteles y restaurantes (125)",98,26,4,53,9,6,,
