"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TUMBES (000)",52713,48480,12765,8430,8498,6428,6211,3039,3109,4233
"Católica (001)",44129,40463,10692,7213,7208,5293,5051,2468,2538,3666
"Cristiana/Evangélica (002)",6691,6268,1537,917,993,903,963,465,490,423
"Otra (003)",1113,1037,308,152,172,142,130,75,58,76
"Ninguna (004)",780,712,228,148,125,90,67,31,23,68
,,,,,,,,,,
"URBANA (006)",48568,44662,11700,7853,7922,6013,5760,2739,2675,3906
"Católica (007)",40446,37083,9741,6684,6699,4934,4664,2203,2158,3363
"Cristiana/Evangélica (008)",6318,5911,1451,879,943,857,904,436,441,407
"Otra (009)",1086,1011,302,148,165,139,128,73,56,75
"Ninguna (010)",718,657,206,142,115,83,64,27,20,61
,,,,,,,,,,
"RURAL (012)",4145,3818,1065,577,576,415,451,300,434,327
"Católica (013)",3683,3380,951,529,509,359,387,265,380,303
"Cristiana/Evangélica (014)",373,357,86,38,50,46,59,29,49,16
"Otra (015)",27,26,6,4,7,3,2,2,2,1
"Ninguna (016)",62,55,22,6,10,7,3,4,3,7
