"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL NIETO (000)",20556,19273,105,5471,5632,3366,3092,1147,367,93,1283,51796
"De 12 a 14 años (001)",24,8,1,6,1,,,,,,16,8
"De 15 a 19 años (002)",347,282,6,240,28,6,2,,,,65,322
"De 20 a 24 años (003)",1859,1425,10,1076,298,32,6,3,,,434,1813
"De 25 a 29 años (004)",2633,2249,18,1268,763,162,38,,,,384,3435
"De 30 a 34 años (005)",2660,2523,13,918,1049,409,122,11,,1,137,4839
"De 35 a 39 años (006)",2785,2692,8,702,1114,533,292,34,8,1,93,6081
"De 40 a 44 años (007)",2311,2269,5,401,792,568,407,89,7,,42,6059
"De 45 a 49 años (008)",1872,1838,9,265,534,476,434,95,23,2,34,5464
"De 50 y más años (009)",6065,5987,35,595,1053,1180,1791,915,329,89,78,23775
"PEA (010)",10884,10203,51,3097,3137,1810,1475,455,140,38,681,25717
"De 12 a 14 años (011)",4,4,,4,,,,,,,,4
"De 15 a 19 años (012)",120,97,2,84,9,2,,,,,23,108
"De 20 a 24 años (013)",824,618,5,467,125,15,5,1,,,206,789
"De 25 a 29 años (014)",1464,1216,10,739,380,78,9,,,,248,1770
"De 30 a 34 años (015)",1568,1481,7,599,597,215,57,6,,,87,2717
"De 35 a 39 años (016)",1751,1688,6,488,675,330,165,18,5,1,63,3708
"De 40 a 44 años (017)",1501,1482,1,273,514,373,266,52,3,,19,3914
"De 45 a 49 años (018)",1194,1175,6,180,356,312,259,48,13,1,19,3377
"De 50 y más años (019)",2458,2442,14,263,481,485,714,330,119,36,16,9330
"Ocupada (020)",9907,9304,44,2728,2899,1667,1371,424,134,37,603,23737
"De 12 a 14 años (021)",3,3,,3,,,,,,,,3
