"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AYABACA (000)",127923,38584,4316,1256,83856
"Quechua (001)",52,17,5,2,30
"Aymara (002)",19,9,1,3,8
"Asháninka (003)",18,7,,7,6
"Otra lengua nativa (004)",55,22,,2,33
"Castellano (005)",127474,38468,4307,1242,83538
"Es Sordomudo/a (007)",305,61,3,,241
"Hombres (009)",65442,18727,2055,719,43991
"Quechua (010)",23,7,4,2,12
"Aymara (011)",6,5,,2,1
"Asháninka (012)",10,4,,4,3
"Otra lengua nativa (013)",33,13,,2,20
"Castellano (014)",65217,18672,2049,709,43830
"Es Sordomudo/a (016)",153,26,2,,125
"Mujeres (018)",62481,19857,2261,537,39865
"Quechua (019)",29,10,1,,18
"Aymara (020)",13,4,1,1,7
"Asháninka (021)",8,3,,3,3
"Otra lengua nativa (022)",22,9,,,13
"Castellano (023)",62257,19796,2258,533,39708
"Es Sordomudo/a (025)",152,35,1,,116
,,,,,
"URBANA (027)",14965,2869,2872,769,8507
"Quechua (028)",13,3,2,1,7
"Aymara (029)",5,1,1,,3
"Asháninka (030)",9,,,5,4
"Otra lengua nativa (031)",10,5,,,5
"Castellano (032)",14901,2854,2867,763,8469
"Es Sordomudo/a (034)",27,6,2,,19
"Hombres (036)",7430,1331,1355,488,4284
"Quechua (037)",6,1,1,1,3
"Aymara (038)",2,1,,,1
"Asháninka (039)",5,,,3,2
"Otra lengua nativa (040)",7,4,,,3
"Castellano (041)",7394,1322,1353,484,4263
"Es Sordomudo/a (043)",16,3,1,,12
"Mujeres (045)",7535,1538,1517,281,4223
"Quechua (046)",7,2,1,,4
"Aymara (047)",3,,1,,2
"Asháninka (048)",4,,,2,2
"Otra lengua nativa (049)",3,1,,,2
"Castellano (050)",7507,1532,1514,279,4206
"Es Sordomudo/a (052)",11,3,1,,7
,,,,,
"RURAL (054)",112958,35715,1444,487,75349
"Quechua (055)",39,14,3,1,23
"Aymara (056)",14,8,,3,5
"Asháninka (057)",9,7,,2,2
"Otra lengua nativa (058)",45,17,,2,28
"Castellano (059)",112573,35614,1440,479,75069
"Es Sordomudo/a (061)",278,55,1,,222
"Hombres (063)",58012,17396,700,231,39707
"Quechua (064)",17,6,3,1,9
"Aymara (065)",4,4,,2,
"Asháninka (066)",5,4,,1,1
"Otra lengua nativa (067)",26,9,,2,17
"Castellano (068)",57823,17350,696,225,39567
"Es Sordomudo/a (070)",137,23,1,,113
"Mujeres (072)",54946,18319,744,256,35642
"Quechua (073)",22,8,,,14
"Aymara (074)",10,4,,1,5
"Asháninka (075)",4,3,,1,1
"Otra lengua nativa (076)",19,8,,,11
"Castellano (077)",54750,18264,744,254,35502
"Es Sordomudo/a (079)",141,32,,,109
