"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LUYA (000)",11658,48151,5004,19349,6654,28802
"Casa independiente (001)",11468,47554,4944,19158,6524,28396
"Departamento en edificio (002)",4,7,4,7,,
"Vivienda en quinta (003)",5,16,5,16,,
"Vivienda en casa de vecindad (004)",43,143,43,143,,
"Choza o cabaña (005)",127,403,,,127,403
"Vivienda improvisada (006)",1,5,1,5,,
"Local no dest.para hab. humana (007)",7,12,4,9,3,3
"Otro tipo (008)",3,11,3,11,,
