"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LORETO (000)",18954,500,6577,6562,4354,961
"Agric., ganadería, caza y silvicultura (001)",10111,319,3299,3111,2592,790
"Pesca (002)",333,5,98,110,100,20
"Explotación de minas y canteras (003)",424,,98,192,130,4
"Industrias manufactureras (004)",447,4,174,162,96,11
"Suministro de electricidad, gas y agua (005)",15,2,3,4,4,2
"Construcción (006)",886,3,318,412,147,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1428,44,484,519,323,58
"Venta, mant.y rep. veh.autom.y motoc. (008)",115,2,40,39,32,2
"Comercio al por mayor (009)",58,1,28,16,11,2
"Comercio al por menor (010)",1255,41,416,464,280,54
"Hoteles y restaurantes (011)",505,11,196,183,111,4
"Trans., almac. y comunicaciones (012)",434,2,185,154,91,2
"Intermediación financiera (013)",4,,1,3,,
"Activid.inmobil., empres. y alquileres (014)",316,,116,127,71,2
"Admin.pub. y defensa; p. segur.soc afil (015)",462,,134,210,111,7
"Enseñanza (016)",1034,,193,648,193,
"Servicios sociales y de salud (017)",152,,52,66,34,
"Otras activ. serv.comun.soc y personales (018)",165,4,56,60,40,5
"Hogares privados con servicio doméstico (019)",253,23,142,56,27,5
"Actividad economica no especificada (021)",654,6,309,199,119,21
"Desocupado (022)",1331,77,719,346,165,24
"Hombres (023)",14507,355,5070,4997,3331,754
"Agric., ganadería, caza y silvicultura (024)",8073,247,2752,2469,1975,630
"Pesca (025)",323,5,95,107,96,20
"Explotación de minas y canteras (026)",417,,96,187,130,4
"Industrias manufactureras (027)",404,4,164,147,80,9
"Suministro de electricidad, gas y agua (028)",14,2,3,4,3,2
"Construcción (029)",869,3,308,409,143,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",862,30,291,294,210,37
"Venta, mant.y rep. veh.autom.y motoc. (031)",110,1,38,38,31,2
"Comercio al por mayor (032)",39,1,16,13,7,2
"Comercio al por menor (033)",713,28,237,243,172,33
"Hoteles y restaurantes (034)",224,6,99,74,44,1
"Trans., almac. y comunicaciones (035)",410,1,171,148,88,2
"Intermediación financiera (036)",1,,,1,,
"Activid.inmobil., empres. y alquileres (037)",271,,96,110,63,2
"Admin.pub. y defensa; p. segur.soc afil (038)",349,,90,159,93,7
"Enseñanza (039)",607,,91,377,139,
"Servicios sociales y de salud (040)",87,,23,41,23,
