"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AZANGARO (000)",128905,6148,34054,25545,17303,14624,11166,8651,11414
"Quechua (001)",104456,4040,24224,19206,14386,12990,10234,8267,11109
"Aymara (002)",364,19,48,75,84,46,36,32,24
"Ashaninca (003)",12,,4,,2,2,2,,2
"Otra lengua nativa (004)",136,6,47,43,23,6,9,1,1
"Castellano (005)",23759,2073,9684,6185,2780,1565,865,335,272
"Idioma extranjero (006)",6,,,1,,1,3,1,
"Es sordomudo/a (007)",172,10,47,35,28,14,17,15,6
"Hombres (009)",62484,3044,17291,12587,8155,6801,5261,4041,5304
"Quechua (010)",49761,2003,12244,9377,6582,5950,4675,3819,5111
"Aymara (011)",165,11,25,19,40,19,21,18,12
"Ashaninca (012)",5,,1,,,1,1,,2
"Otra lengua nativa (013)",80,,27,28,12,5,6,1,1
"Castellano (014)",12377,1027,4963,3144,1506,815,548,200,174
"Idioma extranjero (015)",6,,,1,,1,3,1,
"Es sordomudo/a (016)",90,3,31,18,15,10,7,2,4
"Mujeres (018)",66421,3104,16763,12958,9148,7823,5905,4610,6110
"Quechua (019)",54695,2037,11980,9829,7804,7040,5559,4448,5998
"Aymara (020)",199,8,23,56,44,27,15,14,12
"Ashaninca (021)",7,,3,,2,1,1,,
"Otra lengua nativa (022)",56,6,20,15,11,1,3,,
"Castellano (023)",11382,1046,4721,3041,1274,750,317,135,98
"Es sordomudo/a (025)",82,7,16,17,13,4,10,13,2
,,,,,,,,,
"URBANA (027)",35295,1536,9075,7738,5530,4549,3036,1775,2056
"Quechua (028)",19345,374,2943,3451,3437,3342,2376,1541,1881
"Aymara (029)",87,,6,12,23,20,15,6,5
"Ashaninca (030)",5,,1,,,1,2,,1
"Otra lengua nativa (031)",4,,2,1,,,1,,
"Castellano (032)",15821,1160,6113,4268,2065,1185,637,224,169
"Idioma extranjero (033)",6,,,1,,1,3,1,
"Es sordomudo/a (034)",27,2,10,5,5,,2,3,
"Hombres (036)",17505,761,4615,3854,2624,2159,1601,923,968
"Quechua (037)",9315,201,1493,1707,1534,1552,1187,787,854
"Aymara (038)",45,,1,5,13,11,8,4,3
"Ashaninca (039)",3,,,,,1,1,,1
"Otra lengua nativa (040)",4,,2,1,,,1,,
"Castellano (041)",8117,560,3110,2137,1075,594,400,131,110
"Idioma extranjero (042)",6,,,1,,1,3,1,
"Es sordomudo/a (043)",15,,9,3,2,,1,,
"Mujeres (045)",17790,775,4460,3884,2906,2390,1435,852,1088
"Quechua (046)",10030,173,1450,1744,1903,1790,1189,754,1027
"Aymara (047)",42,,5,7,10,9,7,2,2
"Ashaninca (048)",2,,1,,,,1,,
"Castellano (050)",7704,600,3003,2131,990,591,237,93,59
"Es sordomudo/a (052)",12,2,1,2,3,,1,3,
,,,,,,,,,
"RURAL (054)",93610,4612,24979,17807,11773,10075,8130,6876,9358
"Quechua (055)",85111,3666,21281,15755,10949,9648,7858,6726,9228
"Aymara (056)",277,19,42,63,61,26,21,26,19
"Ashaninca (057)",7,,3,,2,1,,,1
"Otra lengua nativa (058)",132,6,45,42,23,6,8,1,1
"Castellano (059)",7938,913,3571,1917,715,380,228,111,103
"Es sordomudo/a (061)",145,8,37,30,23,14,15,12,6
"Hombres (063)",44979,2283,12676,8733,5531,4642,3660,3118,4336
"Quechua (064)",40446,1802,10751,7670,5048,4398,3488,3032,4257
"Aymara (065)",120,11,24,14,27,8,13,14,9
"Ashaninca (066)",2,,1,,,,,,1
"Otra lengua nativa (067)",76,,25,27,12,5,5,1,1
"Castellano (068)",4260,467,1853,1007,431,221,148,69,64
"Es sordomudo/a (070)",75,3,22,15,13,10,6,2,4
"Mujeres (072)",48631,2329,12303,9074,6242,5433,4470,3758,5022
"Quechua (073)",44665,1864,10530,8085,5901,5250,4370,3694,4971
"Aymara (074)",157,8,18,49,34,18,8,12,10
"Ashaninca (075)",5,,2,,2,1,,,
"Otra lengua nativa (076)",56,6,20,15,11,1,3,,
"Castellano (077)",3678,446,1718,910,284,159,80,42,39
"Es sordomudo/a (079)",70,5,15,15,10,4,9,10,2
