"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CHACHAPOYAS (000)",19163,18672,5573,2950,2783,1943,2531,1496,1396,491
"Católica (001)",15446,15032,4445,2479,2335,1566,1997,1163,1047,414
"Cristiana/Evangélica (002)",2122,2086,608,266,239,224,315,208,226,36
"Otra (003)",1235,1212,405,143,144,115,187,108,110,23
"Ninguna (004)",360,342,115,62,65,38,32,17,13,18
,,,,,,,,,,
"URBANA (006)",13914,13489,4356,2283,2128,1425,1650,893,754,425
"Católica (007)",11700,11335,3591,1989,1857,1197,1386,718,597,365
"Cristiana/Evangélica (008)",1262,1233,395,177,153,137,158,116,97,29
"Otra (009)",737,720,285,82,86,67,92,51,57,17
"Ninguna (010)",215,201,85,35,32,24,14,8,3,14
,,,,,,,,,,
"RURAL (012)",5249,5183,1217,667,655,518,881,603,642,66
"Católica (013)",3746,3697,854,490,478,369,611,445,450,49
"Cristiana/Evangélica (014)",860,853,213,89,86,87,157,92,129,7
"Otra (015)",498,492,120,61,58,48,95,57,53,6
"Ninguna (016)",145,141,30,27,33,14,18,9,10,4
