"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia HUAMANGA",,,,,,,,
"Hogares (001)",55444,42110,27235,10450,2436,9720,7965,9660
"Ocupantes presentes (002)",217703,172829,114466,44322,10250,42743,34176,30464
"Casa independiente",,,,,,,,
"Hogares (004)",49485,37624,24043,9041,2092,8533,6863,8742
"Ocupantes presentes (005)",197433,156963,103241,39037,8908,38033,30137,27808
"Departamento en edificio",,,,,,,,
"Hogares (007)",709,599,622,382,140,379,345,25
"Ocupantes presentes (008)",2347,2042,2161,1440,534,1429,1264,58
"Vivienda en quinta",,,,,,,,
"Hogares (010)",2012,1615,1555,714,155,587,538,141
"Ocupantes presentes (011)",6808,5603,5521,2678,607,2336,2009,390
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",1416,1033,912,300,46,212,210,182
"Ocupantes presentes (014)",4471,3392,3092,1106,187,905,724,455
"Choza o cabaña",,,,,,,,
"Hogares (016)",1756,1206,80,1,,,,546
"Ocupantes presentes (017)",6404,4697,338,3,,,,1688
"Vivienda improvisada",,,,,,,,
"Hogares (019)",15,5,5,1,,,1,8
"Ocupantes presentes (020)",94,39,43,15,,,15,41
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",46,26,17,11,3,9,8,13
"Ocupantes presentes (023)",136,86,64,43,14,40,27,21
"Otro tipo",,,,,,,,
"Hogares (025)",5,2,1,,,,,3
"Ocupantes presentes (026)",10,7,6,,,,,3
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",40069,31949,25670,10300,2421,9653,7942,4673
"Ocupantes presentes (029)",157988,130489,107254,43661,10193,42439,34095,14145
"Casa independiente",,,,,,,,
"Hogares (031)",35878,28677,22559,8892,2077,8466,6841,4304
"Ocupantes presentes (032)",144157,119347,96369,38379,8851,37729,30058,13183
"Departamento en edificio",,,,,,,,
"Hogares (034)",709,599,622,382,140,379,345,25
"Ocupantes presentes (035)",2347,2042,2161,1440,534,1429,1264,58
"Vivienda en quinta",,,,,,,,
"Hogares (037)",2012,1615,1555,714,155,587,538,141
"Ocupantes presentes (038)",6808,5603,5521,2678,607,2336,2009,390
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",1416,1033,912,300,46,212,210,182
"Ocupantes presentes (041)",4471,3392,3092,1106,187,905,724,455
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",15,5,5,1,,,1,8
"Ocupantes presentes (047)",94,39,43,15,,,15,41
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",35,19,16,11,3,9,7,10
"Ocupantes presentes (050)",102,60,62,43,14,40,25,15
"Otro tipo",,,,,,,,
"Hogares (052)",4,1,1,,,,,3
"Ocupantes presentes (053)",9,6,6,,,,,3
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",15375,10161,1565,150,15,67,23,4987
"Ocupantes presentes (056)",59715,42340,7212,661,57,304,81,16319
"Casa independiente",,,,,,,,
"Hogares (058)",13607,8947,1484,149,15,67,22,4438
"Ocupantes presentes (059)",53276,37616,6872,658,57,304,79,14625
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1756,1206,80,1,,,,546
"Ocupantes presentes (071)",6404,4697,338,3,,,,1688
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",11,7,1,,,,1,3
"Ocupantes presentes (077)",34,26,2,,,,2,6
"Otro tipo",,,,,,,,
"Hogares (079)",1,1,,,,,,
"Ocupantes presentes (080)",1,1,,,,,,
