"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHINCHEROS (000)",51325,1055,19197,11474,8554,6847,4198
"Jefe o Jefa (001)",13341,,28,2144,4467,4074,2628
"Esposa(o) / compañera(o) (002)",8662,,16,2034,3258,2428,926
"Hijo(a) / hijastro(a) (003)",24757,845,17115,6207,479,107,4
"Yerno / nuera (004)",312,,9,222,67,14,
"Nieto(a) (005)",1751,157,1345,235,13,,1
"Padres / suegros (006)",550,,,,8,84,458
"Otro(a) pariente (007)",1515,49,621,446,149,101,149
"Trabajador(a) del hogar (008)",22,,3,11,2,4,2
"Pensionistas (009)",15,,,11,3,1,
"Otro(a) no pariente (010)",400,4,60,164,108,34,30
"Hombres (011)",25502,543,9776,5693,4145,3350,1995
"Jefe o Jefa (012)",9738,,14,1521,3455,3010,1738
"Esposa(o) / compañera(o) (013)",665,,14,157,249,178,67
"Hijo(a) / hijastro(a) (014)",12877,418,8735,3428,243,50,3
"Yerno / nuera (015)",144,,2,89,43,10,
"Nieto(a) (016)",887,93,650,135,9,,
"Padres / suegros (017)",161,,,,5,23,133
"Otro(a) pariente (018)",808,29,334,264,78,57,46
"Trabajador(a) del hogar (019)",5,,1,4,,,
"Pensionistas (020)",9,,,6,2,1,
"Otro(a) no pariente (021)",208,3,26,89,61,21,8
"Mujeres (022)",25823,512,9421,5781,4409,3497,2203
"Jefe o Jefa (023)",3603,,14,623,1012,1064,890
"Esposa(o) / compañera(o) (024)",7997,,2,1877,3009,2250,859
"Hijo(a) / hijastro(a) (025)",11880,427,8380,2779,236,57,1
"Yerno / nuera (026)",168,,7,133,24,4,
"Nieto(a) (027)",864,64,695,100,4,,1
"Padres / suegros (028)",389,,,,3,61,325
"Otro(a) pariente (029)",707,20,287,182,71,44,103
"Trabajador(a) del hogar (030)",17,,2,7,2,4,2
"Pensionistas (031)",6,,,5,1,,
"Otro(a) no pariente (032)",192,1,34,75,47,13,22
,,,,,,,
"URBANA (033)",16336,320,6016,3635,3199,2114,1052
"Jefe o Jefa (034)",4282,,16,638,1695,1283,650
"Esposa(o) / compañera(o) (035)",2736,,8,643,1176,708,201
"Hijo(a) / hijastro(a) (036)",7763,255,5399,1925,149,34,1
"Yerno / nuera (037)",106,,5,63,32,6,
"Nieto(a) (038)",492,43,374,69,5,,1
"Padres / suegros (039)",173,,,,1,33,139
"Otro(a) pariente (040)",545,21,186,196,61,32,49
"Trabajador(a) del hogar (041)",17,,2,9,2,3,1
"Pensionistas (042)",3,,,1,2,,
"Otro(a) no pariente (043)",219,1,26,91,76,15,10
"Hombres (044)",8025,163,3012,1743,1551,1065,491
"Jefe o Jefa (045)",3136,,7,447,1302,964,416
"Esposa(o) / compañera(o) (046)",183,,7,51,66,46,13
"Hijo(a) / hijastro(a) (047)",3956,124,2704,1025,86,16,1
"Yerno / nuera (048)",44,,1,24,17,2,
"Nieto(a) (049)",253,26,188,36,3,,
"Padres / suegros (050)",57,,,,,11,46
"Otro(a) pariente (051)",290,12,95,116,37,16,14
"Trabajador(a) del hogar (052)",3,,,3,,,
"Pensionistas (053)",1,,,,1,,
"Otro(a) no pariente (054)",102,1,10,41,39,10,1
"Mujeres (055)",8311,157,3004,1892,1648,1049,561
"Jefe o Jefa (056)",1146,,9,191,393,319,234
"Esposa(o) / compañera(o) (057)",2553,,1,592,1110,662,188
"Hijo(a) / hijastro(a) (058)",3807,131,2695,900,63,18,
"Yerno / nuera (059)",62,,4,39,15,4,
"Nieto(a) (060)",239,17,186,33,2,,1
"Padres / suegros (061)",116,,,,1,22,93
"Otro(a) pariente (062)",255,9,91,80,24,16,35
"Trabajador(a) del hogar (063)",14,,2,6,2,3,1
"Pensionistas (064)",2,,,1,1,,
"Otro(a) no pariente (065)",117,,16,50,37,5,9
,,,,,,,
"RURAL (066)",34989,735,13181,7839,5355,4733,3146
"Jefe o Jefa (067)",9059,,12,1506,2772,2791,1978
"Esposa(o) / compañera(o) (068)",5926,,8,1391,2082,1720,725
"Hijo(a) / hijastro(a) (069)",16994,590,11716,4282,330,73,3
"Yerno / nuera (070)",206,,4,159,35,8,
"Nieto(a) (071)",1259,114,971,166,8,,
"Padres / suegros (072)",377,,,,7,51,319
"Otro(a) pariente (073)",970,28,435,250,88,69,100
"Trabajador(a) del hogar (074)",5,,1,2,,1,1
"Pensionistas (075)",12,,,10,1,1,
"Otro(a) no pariente (076)",181,3,34,73,32,19,20
"Hombres (077)",17477,380,6764,3950,2594,2285,1504
"Jefe o Jefa (078)",6602,,7,1074,2153,2046,1322
"Esposa(o) / compañera(o) (079)",482,,7,106,183,132,54
"Hijo(a) / hijastro(a) (080)",8921,294,6031,2403,157,34,2
"Yerno / nuera (081)",100,,1,65,26,8,
"Nieto(a) (082)",634,67,462,99,6,,
"Padres / suegros (083)",104,,,,5,12,87
"Otro(a) pariente (084)",518,17,239,148,41,41,32
"Trabajador(a) del hogar (085)",2,,1,1,,,
"Pensionistas (086)",8,,,6,1,1,
"Otro(a) no pariente (087)",106,2,16,48,22,11,7
"Mujeres (088)",17512,355,6417,3889,2761,2448,1642
"Jefe o Jefa (089)",2457,,5,432,619,745,656
"Esposa(o) / compañera(o) (090)",5444,,1,1285,1899,1588,671
"Hijo(a) / hijastro(a) (091)",8073,296,5685,1879,173,39,1
"Yerno / nuera (092)",106,,3,94,9,,
"Nieto(a) (093)",625,47,509,67,2,,
"Padres / suegros (094)",273,,,,2,39,232
"Otro(a) pariente (095)",452,11,196,102,47,28,68
"Trabajador(a) del hogar (096)",3,,,1,,1,1
"Pensionistas (097)",4,,,4,,,
"Otro(a) no pariente (098)",75,1,18,25,10,8,13
