"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia HUARI",,,,,,,,
"Viviendas particulares (001)",14421,12633,1564,98,26,81,,19
"Ocupantes presentes (002)",59801,52415,6602,348,96,276,,64
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",13871,12130,1530,92,23,80,,16
"Ocupantes presentes (005)",57875,50681,6453,334,84,275,,48
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",10,,5,3,2,,,
"Ocupantes presentes (008)",46,,28,8,10,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",10,,10,,,,,
"Ocupantes presentes (011)",30,,30,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",19,10,6,3,,,,
"Ocupantes presentes (014)",99,56,37,6,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",491,480,7,,,1,,3
"Ocupantes presentes (017)",1691,1636,38,,,1,,16
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",3,,3,,,,,
"Ocupantes presentes (020)",4,,4,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",12,8,3,,1,,,
"Ocupantes presentes (023)",45,31,12,,2,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",5,5,,,,,,
"Ocupantes presentes (026)",11,11,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",5144,3684,1262,95,22,67,,14
"Ocupantes presentes (029)",21810,15798,5317,338,74,242,,41
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",5087,3661,1236,89,20,67,,14
"Ocupantes presentes (032)",21579,15700,5208,324,64,242,,41
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",10,,5,3,2,,,
"Ocupantes presentes (035)",46,,28,8,10,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",10,,10,,,,,
"Ocupantes presentes (038)",30,,30,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",19,10,6,3,,,,
"Ocupantes presentes (041)",99,56,37,6,,,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",3,,3,,,,,
"Ocupantes presentes (047)",4,,4,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",10,8,2,,,,,
"Ocupantes presentes (050)",41,31,10,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",5,5,,,,,,
"Ocupantes presentes (053)",11,11,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",9277,8949,302,3,4,14,,5
"Ocupantes presentes (056)",37991,36617,1285,10,22,34,,23
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",8784,8469,294,3,3,13,,2
"Ocupantes presentes (059)",36296,34981,1245,10,20,33,,7
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",491,480,7,,,1,,3
"Ocupantes presentes (071)",1691,1636,38,,,1,,16
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",2,,1,,1,,,
"Ocupantes presentes (077)",4,,2,,2,,,
"Otro tipo",,,,,,,,
