"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TARATA (000)",4048,3247,246,216,339
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",21,,2,3,16
"Profes., científicos e intelectuales (002)",207,60,34,56,57
"Técnicos de nivel medio y trab. asimilados (003)",82,35,7,5,35
"Jefes y empleados de oficina (004)",106,13,6,5,82
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",224,199,9,6,10
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1557,1511,46,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",81,62,6,1,12
"Obreros construc.,conf.,papel, fab., instr. (008)",187,111,25,36,15
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1490,1222,110,98,60
"Otra (010)",52,,,,52
"Ocupación no especificada (011)",41,34,1,6,
"Hombres (012)",2332,1809,155,149,219
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",17,,1,3,13
"Profes., científicos e intelectuales (014)",95,27,17,29,22
"Técnicos de nivel medio y trab. asimilados (015)",49,23,5,4,17
"Jefes y empleados de oficina (016)",53,5,2,2,44
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",63,51,3,5,4
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1036,1006,30,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",69,52,4,1,12
"Obreros construc.,conf.,papel, fab., instr. (020)",178,108,24,32,14
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",704,523,68,68,45
"Otra (022)",48,,,,48
"Ocupación no especificada (023)",20,14,1,5,
"Mujeres (024)",1716,1438,91,67,120
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,1,,3
"Profes., científicos e intelectuales (026)",112,33,17,27,35
"Técnicos de nivel medio y trab. asimilados (027)",33,12,2,1,18
"Jefes y empleados de oficina (028)",53,8,4,3,38
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",161,148,6,1,6
"Agricult.trabaj.calif.agrop.y pesqueros (030)",521,505,16,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",12,10,2,,
"Obreros construc.,conf.,papel, fab., instr. (032)",9,3,1,4,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",786,699,42,30,15
"Otra (034)",4,,,,4
