"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia LA CONVENCION",,,,,,,,,
"Viviendas particulares (001)",44022,6455,6302,558,49,365,28816,691,786
"Ocupantes presentes (002)",163558,23356,21776,2010,196,1380,109801,2090,2949
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",37199,5155,3895,473,45,333,25998,596,704
"Ocupantes presentes (005)",140421,19455,14647,1761,182,1258,98691,1748,2679
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",163,115,48,,,,,,
"Ocupantes presentes (008)",481,348,133,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",576,288,287,,,,,1,
"Ocupantes presentes (011)",1669,860,808,,,,,1,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",3214,855,2055,42,1,5,224,12,20
"Ocupantes presentes (014)",9611,2540,6133,122,4,15,707,35,55
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2417,,,18,2,27,2278,52,40
"Ocupantes presentes (017)",9889,,,76,8,107,9323,201,174
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",356,31,9,12,,,275,15,14
"Ocupantes presentes (020)",1205,125,37,20,,,944,57,22
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",63,11,8,13,1,,21,5,4
"Ocupantes presentes (023)",180,28,18,31,2,,75,15,11
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",34,,,,,,20,10,4
"Ocupantes presentes (026)",102,,,,,,61,33,8
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",13872,5331,4472,262,4,52,3348,224,179
"Ocupantes presentes (029)",48050,18580,14691,817,19,204,12506,669,564
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",9506,4031,2067,195,3,47,2840,183,140
"Ocupantes presentes (032)",34935,14679,7565,644,15,189,10834,531,478
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",163,115,48,,,,,,
"Ocupantes presentes (035)",481,348,133,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",576,288,287,,,,,1,
"Ocupantes presentes (038)",1669,860,808,,,,,1,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",3214,855,2055,42,1,5,224,12,20
"Ocupantes presentes (041)",9611,2540,6133,122,4,15,707,35,55
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",356,31,9,12,,,275,15,14
"Ocupantes presentes (047)",1205,125,37,20,,,944,57,22
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",41,11,6,13,,,4,5,2
"Ocupantes presentes (050)",99,28,15,31,,,8,15,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",16,,,,,,5,8,3
"Ocupantes presentes (053)",50,,,,,,13,30,7
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",30150,1124,1830,296,45,313,25468,467,607
"Ocupantes presentes (056)",115508,4776,7085,1193,177,1176,97295,1421,2385
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",27693,1124,1828,278,42,286,23158,413,564
"Ocupantes presentes (059)",105486,4776,7082,1117,167,1069,87857,1217,2201
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2417,,,18,2,27,2278,52,40
"Ocupantes presentes (071)",9889,,,76,8,107,9323,201,174
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",22,,2,,1,,17,,2
"Ocupantes presentes (077)",81,,3,,2,,67,,9
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",18,,,,,,15,2,1
"Ocupantes presentes (080)",52,,,,,,48,3,1
