"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia POMABAMBA (000)",25839,7530,1079,9896,4685,662,1160,310,517
"Jefe o Jefa (001)",6543,2425,9,2150,928,160,515,94,262
"Esposa(o)/ compa¤era(o) (002)",4416,2314,12,1108,466,94,281,37,104
"Hijo(a)/ hijastro(a) (003)",11651,1842,876,5556,2655,298,225,126,73
"Yerno/ nuera (004)",351,58,4,101,92,25,46,6,19
"Nieto(a) (005)",1098,274,127,519,149,9,9,9,2
"Padres/ suegros (006)",336,274,,43,10,1,5,,3
"Otro(a) pariente (007)",1132,280,49,355,300,45,48,23,32
"Trabajador(a) del hogar (008)",70,16,,21,31,2,,,
"Pensionista (009)",23,,,6,4,3,3,4,3
"Otro(a) no pariente (010)",219,47,2,37,50,25,28,11,19
"Hombres (012)",12423,2551,532,5202,2634,369,640,181,314
"Jefe o Jefa (013)",4784,1325,5,1849,776,119,416,77,217
"Esposa(o)/ compa¤era(o) (014)",258,68,,67,58,12,28,8,17
"Hijo(a)/ hijastro(a) (015)",5925,833,439,2791,1481,162,119,64,36
"Yerno/ nuera (016)",159,14,1,49,37,18,29,2,9
"Nieto(a) (017)",531,132,62,241,81,6,5,4,
"Padres/ suegros (018)",76,50,,12,8,,3,,3
"Otro(a) pariente (019)",550,106,23,172,158,35,24,14,18
"Trabajador(a) del hogar (020)",16,6,,1,9,,,,
"Pensionista (021)",14,,,,3,3,3,4,1
"Otro(a) no pariente (022)",110,17,2,20,23,14,13,8,13
"Mujeres (024)",13416,4979,547,4694,2051,293,520,129,203
"Jefe o Jefa (025)",1759,1100,4,301,152,41,99,17,45
"Esposa(o)/ compa¤era(o) (026)",4158,2246,12,1041,408,82,253,29,87
"Hijo(a)/ hijastro(a) (027)",5726,1009,437,2765,1174,136,106,62,37
"Yerno/ nuera (028)",192,44,3,52,55,7,17,4,10
"Nieto(a) (029)",567,142,65,278,68,3,4,5,2
"Padres/ suegros (030)",260,224,,31,2,1,2,,
"Otro(a) pariente (031)",582,174,26,183,142,10,24,9,14
"Trabajador(a) del hogar (032)",54,10,,20,22,2,,,
"Pensionista (033)",9,,,6,1,,,,2
"Otro(a) no pariente (034)",109,30,,17,27,11,15,3,6
,,,,,,,,,
"URBANA (036)",5595,726,183,1540,1428,366,768,189,395
"Jefe o Jefa (037)",1519,197,,304,309,100,348,61,200
"Esposa(o)/ compa¤era(o) (038)",915,128,3,195,193,63,214,31,88
"Hijo(a)/ hijastro(a) (039)",2132,217,142,773,641,135,112,66,46
"Yerno/ nuera (040)",92,4,,11,27,9,24,3,14
"Nieto(a) (041)",205,46,25,87,36,4,5,,2
"Padres/ suegros (042)",103,57,,31,6,1,5,,3
"Otro(a) pariente (043)",416,55,11,96,149,26,38,18,23
"Trabajador(a) del hogar (044)",51,6,,18,25,2,,,
"Pensionista (045)",13,,,2,4,2,3,,2
"Otro(a) no pariente (046)",149,16,2,23,38,24,19,10,17
"Hombres (048)",2683,237,86,722,723,189,396,102,228
