"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO",,,,,,,,
"Viviendas particulares (001)",7599,5872,1656,33,5,13,16,4
"Ocupantes presentes (002)",24250,18678,5374,97,15,26,46,14
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",7144,5464,1616,33,5,6,16,4
"Ocupantes presentes (005)",23199,17743,5274,97,15,10,46,14
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",3,,3,,,,,
"Ocupantes presentes (008)",5,,5,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",6,,6,,,,,
"Ocupantes presentes (011)",7,,7,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",120,87,26,,,7,,
"Ocupantes presentes (014)",332,237,79,,,16,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",308,306,2,,,,,
"Ocupantes presentes (017)",675,671,4,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",2,2,,,,,,
"Ocupantes presentes (020)",4,4,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",10,7,3,,,,,
"Ocupantes presentes (023)",17,12,5,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",6,6,,,,,,
"Ocupantes presentes (026)",11,11,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",3154,2093,1010,29,4,13,4,1
"Ocupantes presentes (029)",10714,7300,3280,83,8,26,16,1
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",3013,1997,972,29,4,6,4,1
"Ocupantes presentes (032)",10349,7047,3184,83,8,10,16,1
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",3,,3,,,,,
"Ocupantes presentes (035)",5,,5,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",6,,6,,,,,
"Ocupantes presentes (038)",7,,7,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",120,87,26,,,7,,
"Ocupantes presentes (041)",332,237,79,,,16,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",2,2,,,,,,
"Ocupantes presentes (047)",4,4,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",6,3,3,,,,,
"Ocupantes presentes (050)",8,3,5,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",4,4,,,,,,
"Ocupantes presentes (053)",9,9,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",4445,3779,646,4,1,,12,3
"Ocupantes presentes (056)",13536,11378,2094,14,7,,30,13
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",4131,3467,644,4,1,,12,3
"Ocupantes presentes (059)",12850,10696,2090,14,7,,30,13
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",308,306,2,,,,,
"Ocupantes presentes (071)",675,671,4,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",4,4,,,,,,
"Ocupantes presentes (077)",9,9,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",2,2,,,,,,
"Ocupantes presentes (080)",2,2,,,,,,
