"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BAGUA (000)",71757,26603,6233,1025,37979
"Menos de 1 año (001)",1713,1321,112,12,270
"De 1 a 14 años (002)",26183,19791,2009,232,4180
"De 15 a 29 años (003)",18775,3779,938,211,13859
"De 30 a 44 años (004)",13354,1025,1754,287,10313
"De 45 a 64 años (005)",8639,513,1125,196,6817
"De 65 y mas años (006)",3093,174,295,87,2540
"Hombres (008)",36713,12889,3055,555,20266
"Menos de 1 año (009)",865,674,57,7,129
"De 1 a 14 años (010)",13406,10093,1041,127,2162
"De 15 a 29 años (011)",9336,1567,402,99,7273
"De 30 a 44 años (012)",6780,272,767,164,5595
"De 45 a 64 años (013)",4605,203,601,102,3706
"De 65 y mas años (014)",1721,80,187,56,1401
"Mujeres (016)",35044,13714,3178,470,17713
"Menos de 1 año (017)",848,647,55,5,141
"De 1 a 14 años (018)",12777,9698,968,105,2018
"De 15 a 29 años (019)",9439,2212,536,112,6586
"De 30 a 44 años (020)",6574,753,987,123,4718
"De 45 a 64 años (021)",4034,310,524,94,3111
"De 65 y mas años (022)",1372,94,108,31,1139
,,,,,
"URBANA (024)",33559,9172,5456,868,18128
"Menos de 1 año (025)",645,418,95,12,120
"De 1 a 14 años (026)",10410,6106,1762,209,2355
"De 15 a 29 años (027)",9003,1598,810,170,6432
"De 30 a 44 años (028)",7078,591,1517,248,4746
"De 45 a 64 años (029)",4719,349,1015,160,3205
"De 65 y mas años (030)",1704,110,257,69,1270
"Hombres (032)",16732,4251,2641,469,9411
"Menos de 1 año (033)",324,214,48,7,55
"De 1 a 14 años (034)",5347,3123,916,115,1206
"De 15 a 29 años (035)",4258,588,344,80,3248
"De 30 a 44 años (036)",3404,140,640,144,2498
"De 45 a 64 años (037)",2457,133,530,80,1719
"De 65 y mas años (038)",942,53,163,43,685
"Mujeres (040)",16827,4921,2815,399,8717
"Menos de 1 año (041)",321,204,47,5,65
"De 1 a 14 años (042)",5063,2983,846,94,1149
"De 15 a 29 años (043)",4745,1010,466,90,3184
"De 30 a 44 años (044)",3674,451,877,104,2248
"De 45 a 64 años (045)",2262,216,485,80,1486
"De 65 y mas años (046)",762,57,94,26,585
,,,,,
"RURAL (048)",38198,17431,777,157,19851
"Menos de 1 año (049)",1068,903,17,,150
"De 1 a 14 años (050)",15773,13685,247,23,1825
"De 15 a 29 años (051)",9772,2181,128,41,7427
"De 30 a 44 años (052)",6276,434,237,39,5567
"De 45 a 64 años (053)",3920,164,110,36,3612
"De 65 y mas años (054)",1389,64,38,18,1270
"Hombres (056)",19981,8638,414,86,10855
"Menos de 1 año (057)",541,460,9,,74
"De 1 a 14 años (058)",8059,6970,125,12,956
"De 15 a 29 años (059)",5078,979,58,19,4025
"De 30 a 44 años (060)",3376,132,127,20,3097
"De 45 a 64 años (061)",2148,70,71,22,1987
"De 65 y mas años (062)",779,27,24,13,716
"Mujeres (064)",18217,8793,363,71,8996
"Menos de 1 año (065)",527,443,8,,76
"De 1 a 14 años (066)",7714,6715,122,11,869
"De 15 a 29 años (067)",4694,1202,70,22,3402
"De 30 a 44 años (068)",2900,302,110,19,2470
"De 45 a 64 años (069)",1772,94,39,14,1625
"De 65 y mas años (070)",610,37,14,5,554
