"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PICOTA (000)",35061,1923,8726,6783,5684,5038,3164,1899,1844
"Quechua (001)",75,,2,7,9,12,10,10,25
"Aymara (002)",4,,2,1,1,,,,
"Ashaninca (003)",7,,4,2,1,,,,
"Otra lengua nativa (004)",20,,6,4,5,4,1,,
"Castellano (005)",34902,1923,8701,6755,5659,5011,3149,1888,1816
"Idioma extranjero (006)",2,,,,,2,,,
"Es sordomudo/a (007)",51,,11,14,9,9,4,1,3
"Hombres (009)",18658,1001,4522,3484,2996,2786,1859,1085,925
"Quechua (010)",42,,2,7,6,8,4,4,11
"Aymara (011)",2,,1,,1,,,,
"Ashaninca (012)",3,,2,1,,,,,
"Otra lengua nativa (013)",9,,2,1,3,2,1,,
"Castellano (014)",18576,1001,4507,3470,2983,2772,1850,1081,912
"Es sordomudo/a (016)",26,,8,5,3,4,4,,2
"Mujeres (018)",16403,922,4204,3299,2688,2252,1305,814,919
"Quechua (019)",33,,,,3,4,6,6,14
"Aymara (020)",2,,1,1,,,,,
"Ashaninca (021)",4,,2,1,1,,,,
"Otra lengua nativa (022)",11,,4,3,2,2,,,
"Castellano (023)",16326,922,4194,3285,2676,2239,1299,807,904
"Idioma extranjero (024)",2,,,,,2,,,
"Es sordomudo/a (025)",25,,3,9,6,5,,1,1
,,,,,,,,,
"URBANA (027)",22032,1057,5204,4150,3513,3436,2123,1270,1279
"Quechua (028)",43,,1,4,4,6,4,8,16
"Aymara (029)",3,,2,1,,,,,
"Ashaninca (030)",4,,2,1,1,,,,
"Otra lengua nativa (031)",14,,6,2,3,3,,,
"Castellano (032)",21943,1057,5189,4136,3500,3420,2117,1262,1262
"Idioma extranjero (033)",2,,,,,2,,,
"Es sordomudo/a (034)",23,,4,6,5,5,2,,1
"Hombres (036)",11515,551,2704,2041,1767,1868,1248,714,622
"Quechua (037)",23,,1,4,3,4,2,2,7
"Aymara (038)",1,,1,,,,,,
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",6,,2,,2,2,,,
"Castellano (041)",11471,551,2696,2034,1760,1860,1244,712,614
"Es sordomudo/a (043)",13,,4,2,2,2,2,,1
"Mujeres (045)",10517,506,2500,2109,1746,1568,875,556,657
"Quechua (046)",20,,,,1,2,2,6,9
"Aymara (047)",2,,1,1,,,,,
"Ashaninca (048)",3,,2,,1,,,,
"Otra lengua nativa (049)",8,,4,2,1,1,,,
"Castellano (050)",10472,506,2493,2102,1740,1560,873,550,648
"Idioma extranjero (051)",2,,,,,2,,,
"Es sordomudo/a (052)",10,,,4,3,3,,,
,,,,,,,,,
"RURAL (054)",13029,866,3522,2633,2171,1602,1041,629,565
"Quechua (055)",32,,1,3,5,6,6,2,9
"Aymara (056)",1,,,,1,,,,
"Ashaninca (057)",3,,2,1,,,,,
"Otra lengua nativa (058)",6,,,2,2,1,1,,
"Castellano (059)",12959,866,3512,2619,2159,1591,1032,626,554
"Es sordomudo/a (061)",28,,7,8,4,4,2,1,2
"Hombres (063)",7143,450,1818,1443,1229,918,611,371,303
"Quechua (064)",19,,1,3,3,4,2,2,4
"Aymara (065)",1,,,,1,,,,
"Ashaninca (066)",2,,2,,,,,,
"Otra lengua nativa (067)",3,,,1,1,,1,,
"Castellano (068)",7105,450,1811,1436,1223,912,606,369,298
"Es sordomudo/a (070)",13,,4,3,1,2,2,,1
"Mujeres (072)",5886,416,1704,1190,942,684,430,258,262
"Quechua (073)",13,,,,2,2,4,,5
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",3,,,1,1,1,,,
"Castellano (077)",5854,416,1701,1183,936,679,426,257,256
"Es sordomudo/a (079)",15,,3,5,3,2,,1,1
