"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOHO (000)",11279,10431,450,112,286
"Empleado (001)",598,142,109,87,260
"Obrero (002)",860,742,77,16,25
"Trabajador independiente (003)",5910,5784,126,,
"Empleador o patrono (004)",58,53,4,1,
"Trabajador familiar no remunerado (005)",3806,3663,134,8,1
"Trabajador del hogar (006)",47,47,,,
"De 06 a 14 años (008)",275,238,36,1,
"Empleado (009)",2,2,,,
"Obrero (010)",9,5,3,1,
"Trabajador independiente (011)",22,21,1,,
"Trabajador familiar no remunerado (013)",241,209,32,,
"Trabajador del hogar (014)",1,1,,,
"De 15 a 29 años (016)",2461,2244,127,13,77
"Empleado (017)",138,36,25,5,72
"Obrero (018)",211,178,22,6,5
"Trabajador independiente (019)",968,925,43,,
"Empleador o patrono (020)",8,8,,,
"Trabajador familiar no remunerado (021)",1106,1067,37,2,
"Trabajador del hogar (022)",30,30,,,
"De 30 a 44 años (024)",3066,2752,125,49,140
"Empleado (025)",269,57,40,40,132
"Obrero (026)",224,195,16,5,8
"Trabajador independiente (027)",1657,1616,41,,
"Empleador o patrono (028)",10,8,1,1,
"Trabajador familiar no remunerado (029)",895,865,27,3,
"Trabajador del hogar (030)",11,11,,,
"De 45 a 64 años (032)",3426,3183,138,48,57
"Empleado (033)",176,45,43,41,47
"Obrero (034)",298,253,31,4,10
"Trabajador independiente (035)",1951,1918,33,,
"Empleador o patrono (036)",25,23,2,,
"Trabajador familiar no remunerado (037)",972,940,29,3,
"Trabajador del hogar (038)",4,4,,,
"De 65 y más años (040)",2051,2014,24,1,12
"Empleado (041)",13,2,1,1,9
"Obrero (042)",118,111,5,,2
"Trabajador independiente (043)",1312,1304,8,,
"Empleador o patrono (044)",15,14,1,,
"Trabajador familiar no remunerado (045)",592,582,9,,1
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",2899,2447,184,73,195
"Empleado (049)",385,80,61,65,179
"Obrero (050)",136,92,26,2,16
"Trabajador independiente (051)",1649,1581,68,,
"Empleador o patrono (052)",14,11,2,1,
"Trabajador familiar no remunerado (053)",695,663,27,5,
"Trabajador del hogar (054)",20,20,,,
"De 06 a 14 años (056)",95,85,10,,
"Empleado (057)",2,2,,,
"Obrero (058)",1,1,,,
