"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PALLASCA (000)",26722,5085,1029,12121,6001,547,622,413,904
"Jefe o Jefa (001)",7326,1250,1,3432,1399,245,308,183,508
"Esposa(o)/ compa¤era(o) (002)",4387,1338,5,1986,723,57,95,65,118
"Hijo(a)/ hijastro(a) (003)",11101,1514,787,5231,3099,176,106,93,95
"Yerno/ nuera (004)",303,15,,112,116,19,17,5,19
"Nieto(a) (005)",1634,423,181,715,291,7,3,7,7
"Padres/ suegros (006)",329,246,,74,8,1,,,
"Otro(a) pariente (007)",1154,257,49,454,272,20,25,28,49
"Trabajador(a) del hogar (008)",24,1,,18,4,1,,,
"Pensionista (009)",139,1,,13,11,7,31,8,68
"Otro(a) no pariente (010)",325,40,6,86,78,14,37,24,40
"Hombres (012)",13388,1698,523,6173,3451,376,355,271,541
"Jefe o Jefa (013)",5441,491,1,2757,1197,210,231,167,387
"Esposa(o)/ compa¤era(o) (014)",160,24,,57,63,3,4,1,8
"Hijo(a)/ hijastro(a) (015)",5777,769,417,2600,1741,108,50,52,40
"Yerno/ nuera (016)",148,6,,50,49,15,10,3,15
"Nieto(a) (017)",826,230,79,352,149,6,1,5,4
"Padres/ suegros (018)",72,36,,32,3,1,,,
"Otro(a) pariente (019)",658,121,23,249,185,15,20,19,26
"Trabajador(a) del hogar (020)",1,,,,1,,,,
"Pensionista (021)",94,,,12,11,7,19,6,39
"Otro(a) no pariente (022)",211,21,3,64,52,11,20,18,22
"Mujeres (024)",13334,3387,506,5948,2550,171,267,142,363
"Jefe o Jefa (025)",1885,759,,675,202,35,77,16,121
"Esposa(o)/ compa¤era(o) (026)",4227,1314,5,1929,660,54,91,64,110
"Hijo(a)/ hijastro(a) (027)",5324,745,370,2631,1358,68,56,41,55
"Yerno/ nuera (028)",155,9,,62,67,4,7,2,4
"Nieto(a) (029)",808,193,102,363,142,1,2,2,3
"Padres/ suegros (030)",257,210,,42,5,,,,
"Otro(a) pariente (031)",496,136,26,205,87,5,5,9,23
"Trabajador(a) del hogar (032)",23,1,,18,3,1,,,
"Pensionista (033)",45,1,,1,,,12,2,29
"Otro(a) no pariente (034)",114,19,3,22,26,3,17,6,18
,,,,,,,,,
"URBANA (036)",13980,2341,506,5661,3594,419,470,332,657
"Jefe o Jefa (037)",4028,615,,1611,877,185,229,148,363
"Esposa(o)/ compa¤era(o) (038)",2256,578,,931,462,46,84,54,101
"Hijo(a)/ hijastro(a) (039)",5517,665,369,2346,1766,133,84,77,77
"Yerno/ nuera (040)",176,5,,55,69,19,9,4,15
"Nieto(a) (041)",909,212,107,390,179,7,2,6,6
"Padres/ suegros (042)",172,119,,45,7,1,,,
"Otro(a) pariente (043)",617,130,25,216,165,11,22,22,26
"Trabajador(a) del hogar (044)",21,1,,16,4,,,,
"Pensionista (045)",86,,,5,8,7,21,5,40
"Otro(a) no pariente (046)",198,16,5,46,57,10,19,16,29
"Hombres (048)",6970,746,265,2820,1981,277,267,221,393
