"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHINCHEROS (000)",12310,172,3504,4471,3120,1043
"Agric., ganadería, caza y silvicultura (001)",7429,125,1970,2378,2089,867
"Explotación de minas y canteras (003)",13,1,6,4,2,
"Industrias manufactureras (004)",362,5,127,127,87,16
"Suministro de electricidad, gas y agua (005)",7,,3,3,1,
"Construcción (006)",456,2,139,185,117,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",888,20,257,364,195,52
"Venta, mant.y rep. veh.autom.y motoc. (008)",46,1,19,24,1,1
"Comercio al por mayor (009)",26,1,9,8,7,1
"Comercio al por menor (010)",816,18,229,332,187,50
"Hoteles y restaurantes (011)",243,3,79,84,64,13
"Trans., almac. y comunicaciones (012)",227,2,87,100,35,3
"Intermediación financiera (013)",21,,6,11,4,
"Activid.inmobil., empres. y alquileres (014)",91,,26,45,17,3
"Admin.pub. y defensa; p. segur.soc afil (015)",330,,90,167,71,2
"Enseñanza (016)",1013,,206,569,235,3
"Servicios sociales y de salud (017)",193,,66,110,17,
"Otras activ. serv.comun.soc y personales (018)",95,,32,41,21,1
"Hogares privados con servicio doméstico (019)",144,5,76,34,24,5
"Actividad economica no especificada (021)",345,,102,110,84,49
"Desocupado (022)",453,9,232,139,57,16
"Hombres (023)",9746,137,2701,3448,2560,900
"Agric., ganadería, caza y silvicultura (024)",6879,115,1834,2218,1909,803
"Explotación de minas y canteras (026)",12,1,5,4,2,
"Industrias manufactureras (027)",284,3,96,103,69,13
"Suministro de electricidad, gas y agua (028)",7,,3,3,1,
"Construcción (029)",451,2,139,183,114,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",346,8,110,129,74,25
"Venta, mant.y rep. veh.autom.y motoc. (031)",39,1,15,21,1,1
"Comercio al por mayor (032)",15,,5,4,5,1
"Comercio al por menor (033)",292,7,90,104,68,23
"Hoteles y restaurantes (034)",37,,14,10,11,2
"Trans., almac. y comunicaciones (035)",213,1,79,96,34,3
"Intermediación financiera (036)",15,,4,7,4,
"Activid.inmobil., empres. y alquileres (037)",78,,22,40,14,2
"Admin.pub. y defensa; p. segur.soc afil (038)",272,,69,138,63,2
"Enseñanza (039)",529,,76,293,157,3
"Servicios sociales y de salud (040)",85,,23,50,12,
"Otras activ. serv.comun.soc y personales (041)",28,,6,14,8,
"Hogares privados con servicio doméstico (042)",8,1,6,,1,
