"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHINCHA (000)",82934,11516,22537,19785,29096
"Asiste actualmente (001)",58698,8798,21805,18146,9949
"No asiste (002)",24236,2718,732,1639,19147
"Hombres (004)",41981,5886,11583,10098,14414
"Asiste actualmente (005)",30070,4478,11186,9295,5111
"No asiste (006)",11911,1408,397,803,9303
"Mujeres (008)",40953,5630,10954,9687,14682
"Asiste actualmente (009)",28628,4320,10619,8851,4838
"No asiste (010)",12325,1310,335,836,9844
,,,,,
"URBANA (012)",73716,10198,20059,17659,25800
"Asiste actualmente (013)",52622,7838,19463,16302,9019
"No asiste (014)",21094,2360,596,1357,16781
"Hombres (016)",37274,5201,10293,8999,12781
"Asiste actualmente (017)",26904,3975,9964,8344,4621
"No asiste (018)",10370,1226,329,655,8160
"Mujeres (020)",36442,4997,9766,8660,13019
"Asiste actualmente (021)",25718,3863,9499,7958,4398
"No asiste (022)",10724,1134,267,702,8621
,,,,,
"RURAL (024)",9218,1318,2478,2126,3296
"Asiste actualmente (025)",6076,960,2342,1844,930
"No asiste (026)",3142,358,136,282,2366
"Hombres (028)",4707,685,1290,1099,1633
"Asiste actualmente (029)",3166,503,1222,951,490
"No asiste (030)",1541,182,68,148,1143
"Mujeres (032)",4511,633,1188,1027,1663
"Asiste actualmente (033)",2910,457,1120,893,440
"No asiste (034)",1601,176,68,134,1223
