"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia HUACAYBAMBA",,,,,,,,
"Hogares (001)",4480,2138,621,186,10,31,60,2107
"Ocupantes presentes (002)",20321,9933,2793,876,45,166,275,9311
"Casa independiente",,,,,,,,
"Hogares (004)",4419,2114,621,184,10,31,60,2071
"Ocupantes presentes (005)",20130,9857,2793,863,45,166,275,9202
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",2,1,,1,,,,
"Ocupantes presentes (011)",10,4,,6,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (016)",57,23,,1,,,,34
"Ocupantes presentes (017)",171,72,,7,,,,99
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",2,,,,,,,2
"Ocupantes presentes (023)",10,,,,,,,10
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",870,517,367,113,4,27,52,216
"Ocupantes presentes (029)",3617,2214,1601,503,10,149,240,815
"Casa independiente",,,,,,,,
"Hogares (031)",867,516,367,112,4,27,52,215
"Ocupantes presentes (032)",3602,2210,1601,497,10,149,240,810
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",2,1,,1,,,,
"Ocupantes presentes (038)",10,4,,6,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",1,,,,,,,1
"Ocupantes presentes (050)",5,,,,,,,5
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",3610,1621,254,73,6,4,8,1891
"Ocupantes presentes (056)",16704,7719,1192,373,35,17,35,8496
"Casa independiente",,,,,,,,
"Hogares (058)",3552,1598,254,72,6,4,8,1856
"Ocupantes presentes (059)",16528,7647,1192,366,35,17,35,8392
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",57,23,,1,,,,34
"Ocupantes presentes (071)",171,72,,7,,,,99
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",1,,,,,,,1
"Ocupantes presentes (077)",5,,,,,,,5
"Otro tipo",,,,,,,,
