"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia MARAÑON",,,,,
"Viviendas particulares (001)",35,15,3,13,4
"Ocupantes presentes (002)",188,86,13,63,26
"Casa independiente",,,,,
"Viviendas particulares (004)",32,15,3,10,4
"Ocupantes presentes (005)",179,86,13,54,26
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (016)",3,,,3,
"Ocupantes presentes (017)",9,,,9,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",6,2,1,1,2
"Ocupantes presentes (029)",31,8,6,4,13
"Casa independiente",,,,,
"Viviendas particulares (031)",6,2,1,1,2
"Ocupantes presentes (032)",31,8,6,4,13
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",29,13,2,12,2
"Ocupantes presentes (056)",157,78,7,59,13
"Casa independiente",,,,,
"Viviendas particulares (058)",26,13,2,9,2
"Ocupantes presentes (059)",148,78,7,50,13
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",3,,,3,
"Ocupantes presentes (071)",9,,,9,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
