"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia VIRU",,,,,,
"Viviendas particulares (001)",17228,16397,635,152,40,4
"Ocupantes presentes (002)",75638,67769,5379,1808,610,72
"Casa independiente",,,,,,
"Viviendas particulares (004)",15847,15073,594,139,37,4
"Ocupantes presentes (005)",71134,63774,5049,1659,580,72
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",84,79,4,1,,
"Ocupantes presentes (008)",271,234,28,9,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",399,368,22,7,2,
"Ocupantes presentes (011)",1269,974,187,90,18,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",326,308,13,4,1,
"Ocupantes presentes (014)",1085,943,90,40,12,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",185,183,1,1,,
"Ocupantes presentes (017)",685,665,10,10,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",338,338,,,,
"Ocupantes presentes (020)",1084,1084,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",23,22,1,,,
"Ocupantes presentes (023)",76,61,15,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",26,26,,,,
"Ocupantes presentes (026)",34,34,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",12999,12217,594,147,38,3
"Ocupantes presentes (029)",58044,50623,5035,1756,575,55
"Casa independiente",,,,,,
"Viviendas particulares (031)",11806,11078,555,135,35,3
"Ocupantes presentes (032)",54245,47298,4730,1617,545,55
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",84,79,4,1,,
"Ocupantes presentes (035)",271,234,28,9,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",399,368,22,7,2,
"Ocupantes presentes (038)",1269,974,187,90,18,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",326,308,13,4,1,
"Ocupantes presentes (041)",1085,943,90,40,12,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",338,338,,,,
"Ocupantes presentes (047)",1084,1084,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",20,20,,,,
"Ocupantes presentes (050)",56,56,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",26,26,,,,
"Ocupantes presentes (053)",34,34,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",4229,4180,41,5,2,1
"Ocupantes presentes (056)",17594,17146,344,52,35,17
"Casa independiente",,,,,,
"Viviendas particulares (058)",4041,3995,39,4,2,1
"Ocupantes presentes (059)",16889,16476,319,42,35,17
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",185,183,1,1,,
"Ocupantes presentes (071)",685,665,10,10,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",3,2,1,,,
"Ocupantes presentes (077)",20,5,15,,,
"Otro tipo",,,,,,
