"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CONCEPCION (000)",781,243,538
"Sin nivel (001)",22,4,18
"Educación inicial (002)",1,,1
"Primaria (003)",180,45,135
"Secundaria (004)",349,127,222
"Superior no univ. incompleta (005)",46,13,33
"Superior no univ. completa (006)",94,30,64
"Superior univ. incompleta (007)",24,4,20
"Superior univ. completa (008)",65,20,45
"Hombres (010)",523,165,358
"Sin nivel (011)",13,3,10
"Educación inicial (012)",1,,1
"Primaria (013)",125,30,95
"Secundaria (014)",260,98,162
"Superior no univ. incompleta (015)",33,9,24
"Superior no univ. completa (016)",48,15,33
"Superior univ. incompleta (017)",16,1,15
"Superior univ. completa (018)",27,9,18
"Mujeres (020)",258,78,180
"Sin nivel (021)",9,1,8
"Primaria (023)",55,15,40
"Secundaria (024)",89,29,60
"Superior no univ. incompleta (025)",13,4,9
"Superior no univ. completa (026)",46,15,31
"Superior univ. incompleta (027)",8,3,5
"Superior univ. completa (028)",38,11,27
,,,
"AREA URBANA (030)",446,114,332
"Sin nivel (031)",9,3,6
"Educación inicial (032)",1,,1
"Primaria (033)",74,12,62
"Secundaria (034)",192,58,134
"Superior no univ. incompleta (035)",30,5,25
"Superior no univ. completa (036)",68,17,51
"Superior univ. incompleta (037)",18,4,14
"Superior univ. completa (038)",54,15,39
"Hombres (040)",262,65,197
"Sin nivel (041)",4,2,2
"Educación inicial (042)",1,,1
"Primaria (043)",45,6,39
"Secundaria (044)",129,38,91
"Superior no univ. incompleta (045)",18,2,16
"Superior no univ. completa (046)",33,10,23
"Superior univ. incompleta (047)",11,1,10
"Superior univ. completa (048)",21,6,15
"Mujeres (050)",184,49,135
"Sin nivel (051)",5,1,4
"Primaria (053)",29,6,23
"Secundaria (054)",63,20,43
"Superior no univ. incompleta (055)",12,3,9
"Superior no univ. completa (056)",35,7,28
"Superior univ. incompleta (057)",7,3,4
"Superior univ. completa (058)",33,9,24
,,,
"AREA RURAL (060)",335,129,206
"Sin nivel (061)",13,1,12
"Primaria (063)",106,33,73
"Secundaria (064)",157,69,88
"Superior no univ. incompleta (065)",16,8,8
"Superior no univ. completa (066)",26,13,13
"Superior univ. incompleta (067)",6,,6
"Superior univ. completa (068)",11,5,6
"Hombres (070)",261,100,161
"Sin nivel (071)",9,1,8
"Primaria (073)",80,24,56
"Secundaria (074)",131,60,71
"Superior no univ. incompleta (075)",15,7,8
"Superior no univ. completa (076)",15,5,10
"Superior univ. incompleta (077)",5,,5
"Superior univ. completa (078)",6,3,3
"Mujeres (080)",74,29,45
"Sin nivel (081)",4,,4
"Primaria (083)",26,9,17
"Secundaria (084)",26,9,17
"Superior no univ. incompleta (085)",1,1,
"Superior no univ. completa (086)",11,8,3
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",5,2,3
