"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARAZ (000)",2649,2488,161
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",831,828,3
"Casa pensión (003)",75,75,
"Hospital, clinica (004)",210,210,
"Cárcel, centro de readaptación social (005)",497,497,
"Asilo (006)",15,15,
"Aldea infantil, orfelinato, etc (007)",111,111,
"Otro (008)",415,259,156
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",495,493,2
