"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AREQUIPA (000)",364137,344834,119334,56156,63581,41838,38298,15652,6590,3385,19303,669431
"De 12 a 14 años (001)",23997,23897,23807,82,8,,,,,,100,98
"De 15 a 19 años (002)",44129,43753,41242,2248,198,40,25,,,,376,2864
"De 20 a 24 años (003)",44338,38258,25033,9980,2710,405,92,38,,,6080,17242
"De 25 a 29 años (004)",40599,35002,11973,12511,7819,2107,535,43,14,,5597,37098
"De 30 a 34 años (005)",37753,35047,6039,10215,11833,4870,1867,183,27,13,2706,57901
"De 35 a 39 años (006)",33824,32517,3294,6587,11759,6629,3646,503,80,19,1307,69620
"De 40 a 44 años (007)",29728,28822,2041,4217,9459,6937,4790,1063,252,63,906,74190
"De 45 a 49 años (008)",25049,24445,1521,3075,6926,5780,5045,1549,414,135,604,70936
"De 50 y más años (009)",84720,83093,4384,7241,12869,15070,22298,12273,5803,3155,1627,339482
"Sin nivel (010)",22022,21548,1332,1459,2495,2832,5372,4303,2335,1420,474,102242
"De 12 a 14 años (011)",158,157,153,4,,,,,,,1,4
"De 15 a 19 años (012)",234,231,207,15,4,2,3,,,,3,41
"De 20 a 24 años (013)",280,242,121,69,33,11,7,1,,,38,205
"De 25 a 29 años (014)",324,264,95,63,53,33,17,2,1,,60,359
"De 30 a 34 años (015)",1370,1304,123,230,459,298,160,25,9,,66,2958
"De 35 a 39 años (016)",1448,1402,87,157,405,331,333,75,12,2,46,4006
"De 40 a 44 años (017)",1523,1478,84,90,275,338,469,163,47,12,45,5293
"De 45 a 49 años (018)",1532,1498,67,100,201,258,459,263,116,34,34,6327
"De 50 y más años (019)",15153,14972,395,731,1065,1561,3924,3774,2150,1372,181,83049
